Country	Title	Network	Games	Date aired
Australia	Beat the Star	Seven Network	Unknown	7 September 2010
Bulgaria	Разбий Иван и Андрей Razbi Ivan i Andrei	Nova Television	Unknown	26 September 2011
Croatia	Pobijedi Šolu	RTL Televizija	15	20 February 2009
France	Qui peut battre Benjamin Castaldi?	TF1	13	29 November 2008
Germany	Schlag den Raab	ProSieben	15	23 September 2006
Georgia	დაამარცხე ვარსკვლავი Daamartskhe Varskvlavi	Rustavi 2	Unknown	14 June 2010
Norway	Hvem kan slå Ylvis Hvem kan slå Aamodt & Kjus	TV Norge	Unknown	2009, 2010
Serbia	Izađi na crtu	Prva	Unknown	25 September 2011
Sweden	Vem kan slå Filip och Fredrik?	Kanal 5	15	9 September 2008
The Netherlands	Beat De Mol	Veronica TV	Unknown	Unknown
