#	Episode	Writer	Director	Original air date	Viewing figure
11	"Episode 1"(75-minute Christmas special)	Bill Gallagher	Alan Grint	21December2008	6.58 million
12	"Episode 2"	Bill Gallagher	Alan Grint	4January2009	6.53 million
13	"Episode 3"	Bill Gallagher	Alan Grint	11January2009	6.13 million
14	"Episode 4"	Carolyn Bonnyman	Maurice Phillips	18January2009	6.49 million
15	"Episode 5"	Bill Gallagher	Julian Holmes	25January2009	6.31 million
16	"Episode 6"	Gaby Chiappe	Moira Armstrong	1February2009	6.54 million
17	"Episode 7"	Gaby Chiappe	Sue Tully	8February2009	6.14 million
18	"Episode 8"	Kate Gartside	Alan Grint	15February2009	6.20 million
19	"Episode 9"	Kate Gartside	David Tucker	22February2009	6.32 million
20	"Episode 10"	Carolyn Bonnyman	Patrick Lau	1March2009	6.34 million
21	"Episode 11"	Gaby Chiappe	Paul Marcus	8March2009	6.78 million
