Location	Year	Champion	Runner-up	Score
Lakeway	1977	Harold Solomon	Ken Rosewall	7–6, 6–2, 2–6, 0–6, 6–3
Las Vegas	1978	Björn Borg	Vitas Gerulaitis	6–5, 5–6, 6–4, 6–5
Dorado Beach	1979	Jimmy Connors	Vitas Gerulaitis	6–5, 6–0, 6–4
Forest Hills	1980	Vitas Gerulaitis	John McEnroe	2–6, 6–2, 6–0
Forest Hills	1981	Eddie Dibbs	Carlos Kirmayr	6–3, 6–2
Forest Hills	1982	Ivan Lendl	Eddie Dibbs	6–1, 6–1
Forest Hills	1983	John McEnroe	Vitas Gerulaitis	6–3, 7–5
Forest Hills	1984	John McEnroe	Ivan Lendl	6–4, 6–2
Forest Hills	1985	Ivan Lendl	John McEnroe	6–3, 6–3
Forest Hills	1986	Yannick Noah	Guillermo Vilas	7–6, 6–0
Forest Hills	1987	Andrés Gómez	Yannick Noah	6–4, 7–6, 7–6
Forest Hills	1988	Andre Agassi	Slobodan Živojinović	7–5, 7–6, 7–5
Forest Hills	1989	Ivan Lendl	Jaime Yzaga	6–2, 6–1
Forest Hills	1990	Ivan Lendl	Aaron Krickstein	6–4, 6–7, 6–3
