IWCR No.	Name	Wheel arrangement	SR No.	Year made	Year withdrawn
1 (1st)	Pioneer	2-2-2T	—	1861	1904
2 (1st)	Precursor	2-2-2T	—	1861	1904
1 (2nd)	—	0-4-0T	—	1906	1918
2 (2nd)	—	0-4-4T	—	1895	1917
3	—	0-4-2T	—	1870	1918
4	Cowes	2-4-0T	W4	1876	1925
5	Osborne	2-4-0T	W5	1876	1926
6 (1st)	Newport	2-2-2T	—	1861	1895
6 (2nd)	—	4-4-0T	W6	1890	1926
7 (1st)	—	4-4-0T	—	1861	1906
7 (2nd)	—	2-4-0T	W7	1882	1926
8	—	2-4-0T	W8	1898	1929
9	—	0-6-0T	W9	1872	1927
10	—	0-6-0T	W10	1874	1936
11	—	0-6-0T	W11	1878	1963
12	—	0-6-0T	W12	1880	1936
