Common Name	Genus & Species	NCBI Accession Number	Length (AA)	% Identity to C7orf38	% Similarity to C7orf38
Chimp	Pan troglodytes	XP_001139775.1	573	99	99
Monkey Macaque	Macaca fascicularis	BAE01234.1	573	96	98
Horse	Equus caballus	XP_001915370.1	573	81	84
Pig	Sus scrofa	XP_001929194	1323	39	61
Cow	Bos taurus	XP_875656.2	1320	38	61
Mouse	Mus musculus	CAM15594.1	1157	37	60
Domestic Dog	Canis lupus familiaris	ABF22701.1	609	37	60
Rat	Rattus Rattus	NP_001102151.1	1249	37	59
Opossum	Monodelphis domestica	XP_001372983.1	608	37	59
Chicken	Gallus Gallus	XP_424913.2	641	37	58
Frog	Xenopus (Silurana) tropicalis	ABF20551.1	656	37	56
Zebra Fish	Danio Rerio	XP_001340213.1	609	37	56
Pea Aphid	Acyrthosiphon pisum	XP_001943527.1	659	36	54
Beatle	Tribolium castaneum	ABF20545.1	599	35	55
Sea Squirt	Ciona intestinalis	XP_002119512.1	524	34	52
Hydra	Hydra magnipapillata	XP_002165429.1	572	29	52
Puffer Fish	Tetraodon nigroviridis	CAF95678.1	539	28	47
Mosquito	Anopheles gambiae	XP_558399.5	591	28	47
Sea Urchin	Strongylocentrotus purpuratus	ABF20546.1	625	27	47
Grass Plant	Sorghum bicolor	XP_002439156.1	524	25	40
