Player	Country	Year(s) won	Total	To par	Finish
Ernie Els	South Africa	1994	281	+1	T5
Lee Janzen	United States	1993	283	+3	T10
Tom Watson	United States	1982	284	+4	T13
Curtis Strange	United States	1988 , 1989	287	+7	T27
Jack Nicklaus	United States	1962 , 1967 , 1972 , 1980	287	+7	T27
Payne Stewart	United States	1991	287	+7	T27
Scott Simpson	United States	1987	289	+9	T40
Corey Pavin	United States	1995	289	+9	T40
Hale Irwin	United States	1974 , 1979 , 1990	290	+10	T50
Tom Kite	United States	1992	294	+14	T82
