Club	Location	Current manager	Team captain	Stadium	Capacity
Standard Liège	Liège	László Bölöni	Steven Defour	Stade Maurice Dufrasne	30,000
R.S.C. Anderlecht	Anderlecht	Ariel Jacobs	Olivier Deschacht	Constant Vanden Stock Stadium	28,063
Club Brugge K.V.	Bruges	Jacky Mathijssen	Philippe Clement	Jan Breydel Stadium	29,415
Cercle Brugge K.S.V.	Bruges	Glen De Boeck	Denis Viane	Jan Breydel Stadium	29,415
K.F.C. Germinal Beerschot	Antwerp	Aimé Anthuenis	Daniel Cruz	Olympisch Stadion	12,148
K.A.A. Gent	Ghent	Michel Preud'homme	Bryan Ruiz	Jules Ottenstadion	12,919
S.V. Zulte Waregem	Waregem	Francky Dury	Ludwin Van Nieuwenhuyze	Regenboogstadion	8,500
R. Charleroi S.C.	Charleroi	John Collins	Frank Defays	Stade du Pays de Charleroi	25,000
K.V.C. Westerlo	Westerlo	Jan Ceulemans	Jef Delen	Het Kuipje	8,200
K.R.C. Genk	Genk	Pierre Denier and Hans Visser (caretakers)	Hans Cornelis	Cristal Arena	24,900
R.E. Mouscron	Mouscron	Enzo Scifo	Gonzague van Dooren	Stade Le Canonnier	11,500
K.S.C. Lokeren Oost-Vlaanderen	Lokeren	Aleksandar Janković	Olivier Doll	Daknamstadion	10,000
KV Mechelen	Mechelen	Peter Maes	Jonas Ivens	Veolia-Stadion	14,145
K.S.V. Roeselare	Roeselare	Dennis Van Wijk	Stefaan Tanghe	Schiervelde Stadion	9,036
F.C. Verbroedering Dender E.H.	Denderleeuw	Johan Boskamp	Steven de Petter	Florent Beeckmanstadion	6,800
R.A.E.C. Mons	Mons	Christophe Dessy (caretaker)	Roberto Mirri	Stade Charles Tondreau	9,504
K.V. Kortrijk	Kortrijk	Hein Vanhaezebrouck	Stéphane Demets	Guldensporen Stadion	8,770
A.F.C. Tubize	Tubize	Albert Cartier	Gregory Neels	Stade Leburton	4,000
