Country	Annual CO2 emissions (in thousands of metric tons)	GDP (current, in billions of US dollars)	GDP per Emissions (in US dollars per ton)	GDP (PPP, in billions of current international dollars)	PPP GDP per Emissions (in international dollars per ton)
Chad	396	6.31	15924	15.40	38881
Afghanistan	697	7.72	11080	17.56	25187
Mali	568	6.13	10789	13.10	23055
Switzerland	41826	388.68	9293	283.84	6786
Norway	40220	337.09	8381	232.37	5778
Sweden	50875	393.76	7740	318.42	6259
Iceland	2215	16.69	7534	11.40	5147
Burkina Faso	788	5.78	7331	15.57	19760
France	383148	2,271.28	5928	1,974.39	5153
Central African Republic	249	1.48	5924	2.89	11618
Republic of the Congo	1463	7.74	5289	13.10	8954
Ireland	43806	222.61	5082	173.01	3949
Denmark	53944	274.11	5081	193.54	3588
Cameroon	3645	17.96	4926	37.14	10189
Hong Kong	39039	189.93	4865	268.53	6878
Burundi	198	0.92	4641	2.72	13758
Gabon	2057	9.55	4641	18.63	9057
Comoros	88	0.40	4591	0.71	8034
Vanuatu	92	0.42	4522	0.83	9065
Austria	71834	323.07	4497	298.57	4156
Zambia	2471	10.89	4408	14.74	5965
United Kingdom	568520	2,435.70	4284	2,048.99	3604
Angola	10582	45.17	4268	73.45	6941
Netherlands	168513	677.96	4023	609.87	3619
Democratic Republic of the Congo	2200	8.79	3993	17.43	7924
Italy	474148	1,865.11	3934	1,720.64	3629
Cape Verde	308	1.20	3906	1.47	4776
Niger	935	3.65	3903	8.56	9157
Luxembourg	11277	42.59	3777	36.02	3194
Belgium	107199	400.30	3734	358.02	3340
European Union	3908662	14,510.82	3712	13,641.22	3490
Kiribati	29	0.11	3690	0.56	19448
Uganda	2706	9.96	3680	29.58	10930
Germany	805090	2,914.99	3621	2,671.45	3318
Saint Kitts and Nevis	136	0.49	3588	0.68	4963
Rwanda	796	2.83	3559	7.93	9960
Mozambique	2039	7.21	3538	15.60	7651
Spain	352235	1,233.43	3502	1,269.57	3604
New Zealand	30488	105.97	3476	106.59	3496
Japan	1293409	4,363.63	3374	4,079.14	3154
Sudan	10813	36.40	3366	71.17	6581
Portugal	60001	195.19	3253	220.57	3676
Bahamas	2138	6.88	3216	8.67	4053
Finland	66693	209.71	3144	172.98	2594
Brazil	352524	1,089.30	3090	1,700.57	4824
Malawi	1049	3.15	2998	9.11	8685
Uruguay	6864	20.00	2914	34.60	5041
El Salvador	6461	18.65	2887	38.79	6004
Costa Rica	7854	22.53	2868	41.86	5330
Namibia	2831	7.98	2819	11.98	4230
Nepal	3241	9.03	2787	27.86	8595
Greece	96382	267.71	2778	303.60	3150
Samoa	158	0.43	2747	0.95	5987
Dominica	117	0.32	2709	0.66	5632
Latvia	7462	19.94	2672	35.22	4720
Tanzania	5372	14.35	2671	44.46	8276
Haiti	1811	4.84	2670	10.52	5809
Panama	6428	17.13	2666	30.21	4700
Swaziland	1016	2.67	2629	5.18	5095
Guatemala	11766	30.26	2572	57.77	4910
Slovenia	15173	38.94	2566	51.14	3370
Colombia	63422	162.50	2562	342.77	5405
Malta	2548	6.44	2528	8.88	3485
Ivory Coast	6882	17.38	2526	31.22	4536
Ethiopia	6006	15.17	2525	54.39	9055
Saint Lucia	367	0.93	2520	1.69	4616
Saint Vincent and the Grenadines	198	0.50	2515	0.96	4843
Singapore	56217	139.18	2476	208.75	3713
Laos	1426	3.51	2459	11.41	8000
Bhutan	381	0.93	2444	2.61	6850
Chile	60100	146.76	2442	214.41	3568
Peru	38643	92.31	2389	195.99	5072
Barbados	1338	3.19	2385	4.80	3590
Sri Lanka	11876	28.28	2381	77.51	6526
Botswana	4770	11.30	2369	23.51	4929
Antigua and Barbuda	425	1.01	2367	1.41	3315
Cyprus	7788	18.43	2366	19.99	2566
Canada	544680	1,278.97	2348	1,203.74	2210
Grenada	242	0.56	2331	1.05	4331
Paraguay	3986	9.28	2327	24.81	6224
United States	5752289	13,178.35	2291	13,178.35	2291
Equatorial Guinea	4356	9.60	2205	15.76	3618
Senegal	4261	9.37	2198	19.30	4529
Eritrea	554	1.21	2186	3.48	6283
Mexico	436150	952.34	2184	1,408.81	3230
Guinea	1360	2.90	2135	9.29	6829
Lithuania	14190	30.08	2120	54.04	3808
Albania	4301	9.11	2119	18.34	4264
Croatia	23683	49.04	2071	72.63	3067
Israel	70440	143.98	2044	174.61	2479
Australia	372013	755.21	2030	713.96	1919
South Korea	475248	952.03	2003	1,190.70	2505
Fiji	1610	3.17	1967	3.74	2320
Turkey	269452	529.19	1964	824.58	3060
Hungary	57644	113.05	1961	183.84	3189
Madagascar	2834	5.52	1947	16.84	5943
Brunei	5911	11.47	1940	18.93	3203
Timor-Leste	176	0.33	1858	1.96	11153
Solomon Islands	180	0.33	1856	0.86	4789
Kenya	12151	22.52	1853	52.74	4340
Togo	1221	2.22	1818	4.96	4066
Tonga	132	0.24	1788	0.54	4076
Cambodia	4074	7.26	1783	23.03	5653
Dominican Republic	20357	35.28	1733	63.94	3141
Philippines	68328	117.57	1721	272.25	3984
Bolivia	6973	11.53	1653	37.37	5359
Mauritius	3850	6.32	1641	13.09	3399
Mauritania	1665	2.70	1621	5.74	3448
Djibouti	488	0.77	1576	1.61	3297
Bangladesh	41609	65.20	1567	190.93	4589
Benin	3109	4.74	1524	11.29	3631
Gambia	334	0.51	1521	1.92	5743
Nigeria	97262	146.89	1510	268.21	2758
Honduras	7194	10.84	1507	28.20	3920
Slovakia	37459	56.00	1495	96.76	2583
Belize	818	1.21	1483	2.31	2823
Lebanon	15330	22.44	1464	40.46	2639
Armenia	4371	6.38	1461	14.68	3357
Morocco	45316	65.64	1448	120.32	2655
Burma	10025	14.50	1447	55.55	5541
Sierra Leone	994	1.42	1433	3.62	3644
Georgia	5518	7.77	1408	17.77	3221
Ghana	9240	12.73	1378	28.72	3108
Tunisia	23126	31.11	1345	70.57	3052
Ecuador	31328	41.40	1322	94.48	3016
Seychelles	744	0.97	1301	1.61	2157
Romania	98490	122.70	1246	226.51	2300
Qatar	46193	56.92	1232	66.90	1448
Argentina	173536	212.71	1226	469.75	2707
Czech Republic	116991	142.31	1216	228.48	1953
Nicaragua	4334	5.26	1215	14.93	3444
São Tomé and Príncipe	103	0.13	1214	0.24	2311
Papua New Guinea	4620	5.61	1213	10.91	2361
United Arab Emirates	139553	164.17	1176	154.35	1106
Kuwait	86599	101.56	1173	119.96	1385
Guinea-Bissau	279	0.32	1136	0.76	2724
Indonesia	333483	364.35	1093	767.92	2303
Venezuela	171593	184.25	1074	300.80	1753
Poland	318219	341.67	1074	567.94	1785
Maldives	869	0.92	1053	1.44	1654
Libya	55495	55.08	992	75.47	1360
Jamaica	12151	11.45	942	19.93	1640
Estonia	17523	16.45	939	25.31	1444
Saudi Arabia	381564	356.63	935	522.12	1368
Yemen	21201	19.06	899	49.21	2321
Pakistan	142659	127.49	894	372.96	2614
Algeria	132715	116.83	880	209.40	1578
Suriname	2438	2.14	878	3.76	1543
Oman	41378	35.73	863	56.44	1364
Malaysia	187865	156.86	835	328.97	1751
Liberia	785	0.61	780	1.19	1520
Thailand	272521	206.99	760	483.56	1774
Bahrain	21292	15.85	744	22.41	1053
Jordan	20724	14.84	716	26.25	1266
Bulgaria	48085	31.69	659	79.24	1648
Egypt	166800	107.38	644	367.64	2204
Russia	1564669	989.43	632	1,887.61	1206
South Africa	414649	257.89	622	433.51	1045
Serbia and Montenegro	53266	32.30	606	72.93	1369
Guyana	1507	0.91	606	2.70	1792
Azerbaijan	35050	21.03	600	51.71	1475
Macedonia	10875	6.38	587	16.14	1484
India	1510351	874.77	579	2,672.66	1770
Trinidad and Tobago	33601	19.38	577	23.62	703
Vietnam	106132	60.93	574	198.94	1874
Belarus	68849	36.96	537	94.80	1377
Iraq	92572	49.27	532	90.51	978
Kyrgyzstan	5566	2.84	510	9.45	1698
Zimbabwe	11081	5.60	505	2.29	207
Syria	68460	33.51	489	82.09	1199
Turkmenistan	44103	21.40	485	23.40	531
Iran	466976	222.13	476	693.32	1485
Bosnia and Herzegovina	27438	12.28	447	25.70	937
Tajikistan	6391	2.81	440	10.69	1672
Moldova	7821	3.41	436	9.19	1175
China	6103493	2,657.84	435	6,122.24	1003
Kazakhstan	193508	81.00	419	150.56	778
Ukraine	319158	108.00	338	291.30	913
Mongolia	9442	3.16	334	7.47	791
