Sign	Name	Date	Content	City	Country
א	Sinaiticus	4th	s Gospel , Paul , Acts , CE , Rev	London Leipzig	United Kingdom Germany
A	Alexandrinus	5th	s Gospel , Acts , CE , Paul , Rev	London	United Kingdom
B	Vaticanus	4th	s Gospel , Acts , CE , Paul	Vatican City	Vatican
C	Ephraemi	5th	s Gospel , Acts , Paul , Rev	Paris	France
D ea	Bezae	5th	s Gospel , Acts	Cambridge	United Kingdom
D p	Claromontanus	6th	Pauline epistles	Paris	France
E e	Basilensis	8th	s Gospel	Basel	Switzerland
E a	Laudianus	6th	Acts of the Apostles	Oxford	United Kingdom
F e	Boreelianus	9th	s Gospel	Utrecht	Netherlands
F p	Augiensis	9th	Pauline epistles	Cambridge	United Kingdom
G e	Seidelianus I	9th	s Gospel	London	United Kingdom
G p	Boernerianus	9th	Pauline epistles	Dresden	Germany
H e	Seidelianus II	9th	s Gospel	Hamburg Cambridge	Germany United Kingdom
H a	Mutinensis	9th	Acts of the Apostles	Modena	Italy
H p	Coislinianus	6th	Pauline Epistles	Paris Mount Athos Saint Petersburg	France Greece Russia
I	Freerianus	5th	Pauline epistles	Washington, D.C.	United States
K e	Cyprius	9th	s Gospel	Paris	France
K ap	Mosquensis	9th	Acts , Paul	Moscow	Russia
L e	Regius	8th	s Gospel	Paris	France
L ap	Angelicus	9th	Acts , Paul	Rome	Italy
M	Campianus	9th	s Gospel	Paris	France
N	Petropolitanus Purp.	6th	s Gospel	Saint Petersburg Patmos	Russia Greece
O	Sinopensis	6th	Gospel of Matthew	Paris	France
P e	Guelferbytanus A	6th	s Gospel	Wolfenbüttel	Germany
P apr	Porphyrianus	9th	Acts , Paul , CE , Rev	Saint Petersburg	Russia
Q	Guelferbytanus B	5th	Luke 4,6,12,15,17–23; John 12,14	Wolfenbüttel	Germany
R	Nitriensis	6th	Gospel of Luke	London	United Kingdom
S	Vaticanus 354	949	s Gospel	Vatican City	Vatican City
T	Borgianus	5th	Luke — John	Vatican City New York City	Vatican City United States
U	Nanianus	9th	s Gospel	Venice	Italy
V	Mosquensis II	9th	s Gospel	Moscow	Russia
W	Washingtonianus	5th	s Gospel	Washington, D.C.	United States
X	Monacensis	10th	s Gospel	Munich	Germany
Y	Macedoniensis	9th	s Gospel	Cambridge	United Kingdom
Z	Dublinensis	6th	Matt 1–2,4–8,10–15,17–26	Dublin	Ireland
Γ	Tischendorfianus IV	10th	s Gospel	Oxford Saint Petersburg	United Kingdom Russia
Δ	Sangallensis	9th	s Gospel	St. Gallen	Switzerland
Θ	Coridethianus	9th	s Gospel	Tbilisi	Georgia
Λ	Tischendorfianus III	9th	Luke , John	Oxford	United Kingdom
Ξ	Zacynthius	6th	Gospel of Luke †	Cambridge	United Kingdom
Π	Petropolitanus	9th	s Gospel	Saint Petersburg	Russia
Σ	Rossanensis	6th	Matthew , Mark	Rossano	Italy
Φ	Beratinus	6th	Matthew , Mark	Tirana	Albania
Ψ	Athous Lavrensis	9th/10th	s Gospel , Acts , Paul	Mount Athos	Greece
Ω	Athous Dionysiou	9th	s Gospel	Mount Athos	Greece
