Year	Championship	54 holes	Winning score	Margin	Runner(s)-up
1. 1962	U.S. Open	2 shot deficit	−1 (72-70-72-69=283)	Playoff 1	Arnold Palmer
2. 1963	Masters Tournament	1 shot lead	−2 (74-66-74-72=286)	1 stroke	Tony Lema
3. 1963	PGA Championship	3 shot deficit	−5 (69-73-69-68=279)	2 strokes	Dave Ragan
4. 1965	Masters Tournament (2)	5 shot lead	−17 (67-71-64-69=271)	9 strokes	Arnold Palmer, Gary Player
5. 1966	Masters Tournament (3)	Tied for lead	E (68-76-72-72=288)	Playoff 2	Gay Brewer , Tommy Jacobs
6. 1966	The Open Championship	2 shot deficit	−2 (70-67-75-70=282)	1 stroke	Doug Sanders , Dave Thomas
7. 1967	U.S. Open (2)	1 shot deficit	−9 (71-67-72-65=275)	4 strokes	Arnold Palmer
8. 1970	The Open Championship (2)	2 shot deficit	−5 (68-69-73-73=283)	Playoff 3	Doug Sanders
9. 1971	PGA Championship (2)	4 shot lead	−7 (69–69-70-73=281)	2 strokes	Billy Casper
10. 1972	Masters Tournament (4)	1 shot lead	−2 (68-71-73-74=286)	3 strokes	Bruce Crampton , Bobby Mitchell , Tom Weiskopf
11. 1972	U.S. Open (3)	1 shot lead	+2 (71-73-72-74=290)	3 strokes	Bruce Crampton
12. 1973	PGA Championship (3)	1 shot lead	−7 (72-68-68-69=277)	4 strokes	Bruce Crampton
13. 1975	Masters Tournament (5)	1 shot deficit	−12 (68-67-73-68=276)	1 stroke	Tom Weiskopf, Johnny Miller
14. 1975	PGA Championship (4)	4 shot lead	−4 (70-68-67-71=276)	2 strokes	Bruce Crampton
16. 1980	U.S. Open (4)	Tied for lead	−8 (63-71-70-68=272)	2 strokes	Isao Aoki
17. 1980	PGA Championship (5)	3 shot lead	−6 (70-69-66-69=274)	7 strokes	Andy Bean
