Place	Player	Country	Score	To par	Money ( $ )
1	Sam Snead	United States	73-75-67-67=282	–6	2,750
T2	Johnny Bulla	United States	74-73-69-69=285	–3	1,100
T2	Lloyd Mangrum	United States	69-74-72-70=285	–3	1,100
T4	Johnny Palmer	United States	73-71-70-72=286	–2	440
T4	Jim Turnesa	United States	73-72-71-70=286	–2	440
6	Lew Worsham	United States	76-75-70-68=289	+1	330
7	Joe Kirkwood, Jr.	Australia	73-72-70-75=290	+2	330
T8	Jimmy Demaret	United States	76-72-73-71=292	+4	311
T8	Clayton Heafner	United States	71-74-72-75=292	+4	311
T8	Byron Nelson	United States	75-70-74-73=292	+4	311
