Season	League	Teams	Home	Away
1945-46	Oberliga Süd (I)	FC Bayern Munich - TSV 1860 Munich	1-0	2-2
1946-47	Oberliga Süd	FC Bayern Munich - TSV 1860 Munich	1-1	2-0
1947-48	Oberliga Süd	FC Bayern Munich - TSV 1860 Munich	3-2	1-1
1948-49	Oberliga Süd	FC Bayern Munich - TSV 1860 Munich	1-0	2-0
1949-50	Oberliga Süd	FC Bayern Munich - TSV 1860 Munich	1-0	2-3
1950-51	Oberliga Süd	FC Bayern Munich - TSV 1860 Munich	2-3	1-3
1951-52	Oberliga Süd	FC Bayern Munich - TSV 1860 Munich	2-0	2-2
1952-53	Oberliga Süd	FC Bayern Munich - TSV 1860 Munich	2-1	2-2
1957-58	Oberliga Süd	FC Bayern Munich - TSV 1860 Munich	3-3	3-4
1958-59	Oberliga Süd	FC Bayern Munich - TSV 1860 Munich	1-2	2-1
1959-60	Oberliga Süd	FC Bayern Munich - TSV 1860 Munich	1-3	6-4
1960-61	Oberliga Süd	FC Bayern Munich - TSV 1860 Munich	6-2	0-0
1961-62	Oberliga Süd	FC Bayern Munich - TSV 1860 Munich	0-4	3-2
1962-63	Oberliga Süd	FC Bayern Munich - TSV 1860 Munich	3-1	1-3
1965-66	Bundesliga (I)	FC Bayern Munich - TSV 1860 Munich	3-0	0-1
1966-67	Bundesliga	FC Bayern Munich - TSV 1860 Munich	3-0	0-1
1966-67	DFB-Pokal	FC Bayern Munich - TSV 1860 Munich	3-1	3-1
1967-68	Bundesliga	FC Bayern Munich - TSV 1860 Munich	2-2	2-3
1968-69	Bundesliga	FC Bayern Munich - TSV 1860 Munich	0-2	3-0
1969-70	Bundesliga	FC Bayern Munich - TSV 1860 Munich	2-0	1-2
1977-78	Bundesliga	FC Bayern Munich - TSV 1860 Munich	1-3	1-1
1979-80	Bundesliga	FC Bayern Munich - TSV 1860 Munich	6-1	2-1
1980-81	Bundesliga	FC Bayern Munich - TSV 1860 Munich	1-1	3-1
1994-95	Bundesliga	FC Bayern Munich - TSV 1860 Munich	1-0	3-1
1995-96	Bundesliga	FC Bayern Munich - TSV 1860 Munich	4-2	2-0
1996-97	Bundesliga	FC Bayern Munich - TSV 1860 Munich	1-1	3-3
1997-98	Bundesliga	FC Bayern Munich - TSV 1860 Munich	3-1	2-2
1998-99	Bundesliga	FC Bayern Munich - TSV 1860 Munich	3-1	1-1
1999–2000	Bundesliga	FC Bayern Munich - TSV 1860 Munich	1-2	0-1
2000-01	Bundesliga	FC Bayern Munich - TSV 1860 Munich	3-1	2-0
2001-02	Bundesliga	FC Bayern Munich - TSV 1860 Munich	2-1	5-1
2002-03	Bundesliga	FC Bayern Munich - TSV 1860 Munich	3-1	5-0
2003-04	Bundesliga	FC Bayern Munich - TSV 1860 Munich	1-0	1-0
2007-08	DFB-Pokal	FC Bayern Munich - TSV 1860 Munich	1-0 aet	1-0 aet
