Nat.	Name	Since	Goals	Transfer fee
ENG	Green	2006	0	£2m
ENG	Wright	2007	0	Free
ENG	Walker	2004	0	Bosman ruling
CZE	Štěch	2006	0	Undisclosed
AUS	Neill ( captain )	2007 (Winter)	0	£1.5m
GHA	Paintsil	2006	0	Undisclosed
USA	Spector	2006	0	£0.5m
WAL	Gabbidon	2005	0	£3.5m combined
ENG	Ferdinand	2002	5	Youth system
ENG	Upson	2007 (Winter)	1	£6m
WAL	Collins	2005	2	£3.5m combined
SCO	Dailly	2001 (Winter)	4	£1.75m
ENG	Davenport	2007 (Winter)	0	£3m
ENG	Tomkins	2005	0	Youth system
ENG	Spence	2007	0	Youth system
NIR	McCartney	2006	1	£0.6m
SWE	Ljungberg ( VC )	2007	2	£3m
PER	Solano	2007	4	Free
FRA	Faubert	2007	0	£6.1m
ENG	Bowyer	2006	4	Free
ENG	Dyer	2007	0	£6m
ENG	Parker	2007	1	£7m
ENG	Noble	2003	6	Youth system
ENG	Mullins	2003	6	£0.8m
ENG	Stokes	2005	0	Youth system
SCO	Quashie	2007 (Winter)	0	£1.75m
WAL	Collison	2007	0	Youth system
ENG	Etherington	2003	16	£0.5m
ENG	Reid	2004	0	Youth system
POR	Boa Morte	2007 (Winter)	2	£5m
ENG	Ashton	2006 (Winter)	18	£7m
WAL	Bellamy	2007	4	£7.5m
ENG	Cole	2006	8	Undisclosed
ENG	Zamora	2004	39	Undisclosed
ENG	Ephraim	2004	0	Youth system
SEN	Camara	2007	0	Loan
ENG	Sears	2007	1	Youth system
