Round	Pick #	Player	Position	College
1	16	Ronnie Harmon	Running back	Iowa
1	20	Will Wolford	Offensive Tackle	Vanderbilt
3	77	Leonard Burton	Center	South Carolina
5	111	Carl Byrum	Running back	Mississippi Valley State
7	168	Bob Williams	Tight end	Penn State
7	178	Mark Pike	Linebacker	Georgia Tech
7	180	Butch Rolle	Tight end	Michigan State
8	202	Tony Furjanic	Linebacker	Notre Dame
9	222	Reggie Bynum	Wide receiver	Oregon State
10	251	Guy Teafatiller	Defensive tackle	Illinois
11	278	Tony Garbarczyk	Defensive tackle	Wake Forest
11	282	Billy Witt	Defensive end	North Alabama
12	313	Brian McClure	Quarterback	Bowling Green
12	331	Derek Christian	Linebacker	West Virginia Tech
