Province	Population	Region	Name of City	Districts
Lima	7,605,742	Lima	Lima	43
Constitutional Province of Callao	876,877	Callao	Callao	6
Arequipa	864,250	Arequipa	Arequipa	29
Trujillo	811,979	La Libertad	Trujillo	11
Chiclayo	757,452	Lambayeque	Chiclayo	20
Piura	665,991	Piura	Piura	9
Maynas	492,992	Loreto	Iquitos	13
Huancayo	466,436	Junín	Huancayo	28
Santa	396,434	Ancash	Chimbote	9
Cusco	367,791	Cusco	Cusco	8
Coronel Portillo	333,890	Ucayali	Pucallpa	7
Ica	321,332	Ica	Ica	14
Cajamarca	316,152	Cajamarca	Cajamarca	12
Sullana	287,680	Piura	Sullana	8
Huánuco	270,233	Huánuco	Huánuco	11
Tacna	262,731	Tacna	Tacna	10
Lambayeque	258,747	Lambayeque	Lambayeque	12
San Román	240,776	Puno	Juliaca	4
Puno	229,236	Puno	Puno	15
Huamanga	221,469	Ayacucho	Ayacucho	15
