Date	Course	Distance	Type	Winner
7 May	Reggio Calabria	km (mi)	Individual time trial	Brett Lancaster ( AUS )
8 May	Reggio Calabria to Tropea	km (mi)	Flat stage	Paolo Bettini ( ITA )
9 May	Catanzaro Lido to Santa Maria del Cedro	km (mi)	Flat stage	Robbie McEwen ( AUS )
10 May	Diamante to Giffoni Valle Piana	km (mi)	Flat stage	Danilo Di Luca ( ITA )
11 May	Giffoni Valle Piana to Frosinone	km (mi)	Flat stage	Luca Mazzanti ( ITA )
12 May	Celano to L'Aquila	km (mi)	Medium mountain stage	Danilo Di Luca ( ITA )
13 May	Viterbo to Marina di Grosseto	km (mi)	Flat stage	Robbie McEwen ( AUS )
14 May	Grosseto to Pistoia	km (mi)	Medium mountain stage	Koldo Gil ( ESP )
15 May	Lamporecchio to Florence	km (mi)	Individual time trial	David Zabriskie ( USA )
16 May	Florence to Ravenna	km (mi)	Flat stage	Alessandro Petacchi ( ITA )
17 May	Rest day	Rest day	Rest day	Rest day
18 May	Ravenna to Rossano Veneto	km (mi)	Flat stage	Robbie McEwen ( AUS )
19 May	Marostica to Zoldo Alto	km (mi)	Mountain stage	Paolo Savoldelli ( ITA )
20 May	Alleghe to Rovereto	km (mi)	Medium mountain stage	Alessandro Petacchi ( ITA )
21 May	Mezzocorona to Urtijëi	km (mi)	Mountain stage	Iván Parra ( COL )
22 May	Neumarkt to Livigno	km (mi)	Mountain stage	Iván Parra ( COL )
23 May	Villa di Tirano to Lissone	km (mi)	Flat stage	Alessandro Petacchi ( ITA )
24 May	Rest day	Rest day	Rest day	Rest day
25 May	Lissone to Varazze	km (mi)	Flat stage	Christophe Le Mével ( FRA )
26 May	Varazze to Limone Piemonte	km (mi)	Mountain stage	Ivan Basso ( ITA )
27 May	Chieri to Turin	km (mi)	Individual time trial	Ivan Basso ( ITA )
28 May	Savigliano to Sestriere	km (mi)	Mountain stage	José Rujano ( VEN )
29 May	Albese con Cassano to Milan	km (mi)	Flat stage	Alessandro Petacchi ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)
