Rider	Manufacturer	Laps	Time/Retired	Grid
Mika Kallio	KTM	22	38:51.450	1
Sergio Gadea	Aprilia	22	+0.122	4
Álvaro Bautista	Aprilia	22	+0.128	2
Simone Corsi	Gilera	22	+6.793	9
Lukáš Pešek	Derbi	22	+6.828	3
Héctor Faubel	Aprilia	22	+10.647	6
Mattia Pasini	Aprilia	22	+10.691	5
Thomas Lüthi	Honda	22	+10.935	19
Pablo Nieto	Aprilia	22	+13.297	10
Raffaele De Rosa	Aprilia	22	+13.336	17
Gábor Talmácsi	Honda	22	+13.430	11
Joan Olivé	Aprilia	22	+20.824	15
Mike Di Meglio	Honda	22	+24.778	14
Sandro Cortese	Honda	22	+27.876	18
Nicolás Terol	Derbi	22	+28.772	8
Bradley Smith	Honda	22	+37.462	22
Lorenzo Zanetti	Aprilia	22	+39.194	16
Manuel Hernández	Aprilia	22	+46.514	21
Joey Litjens	Honda	22	+47.384	25
Michele Conti	Honda	22	+47.911	26
Vincent Braillard	Aprilia	22	+48.374	30
Michael Ranseder	KTM	22	+48.880	40
Georg Fröhlich	Honda	22	+59.268	27
Lorenzo Baroni	Honda	22	+59.373	37
Esteve Rabat	Honda	22	+59.455	34
Simone Grotzkyj	Aprilia	22	+1:03.116	33
Roberto Tamburini	Aprilia	22	+1:05.437	39
Hiroaki Kuzuhara	Malaguti	22	+1:05.603	36
Imre Tóth	Aprilia	22	+1:16.271	29
Dino Lombardi	Aprilia	22	+1:17.141	38
Stefan Bradl	KTM	22	+1:39.032	24
Robert Mureşan	Aprilia	21	+1 Lap	42
Patrick van de Waarsenburg	Honda	21	+1 Lap	43
Ángel Rodríguez	Aprilia	21	Accident	13
Karel Abraham	Aprilia	21	Accident	35
Hugo van den Berg	Aprilia	21	Accident	28
Mateo Túnez	Aprilia	20	Finished through pits	23
Andrea Iannone	Aprilia	16	Accident	7
Fabrizio Lai	Honda	11	Retirement	12
Gert-Jan Kok	Honda	9	Accident	41
Alexis Masbou	Malaguti	7	Accident	32
Federico Sandi	Aprilia	7	Accident	31
Michele Pirro	Aprilia	4	Retirement	20
OFFICIAL 125cc REPORT	OFFICIAL 125cc REPORT	OFFICIAL 125cc REPORT	OFFICIAL 125cc REPORT	OFFICIAL 125cc REPORT
