Track Name	Location	Length	Seating	Year Opened	Year Acquired [A ]
Auto Club Speedway	Fontana, CA	miles (km)	92000	1997	1999
Chicagoland Speedway	Joliet, IL	miles (km)	75000	2001	2007
Darlington Raceway	Darlington, SC	miles (km)	63000	1950	1982
Daytona International Speedway	Daytona Beach, FL	miles (km)	168000	1959	1959
Homestead-Miami Speedway	Homestead, FL	miles (km)	65000	1995	1999
Kansas Speedway	Kansas City, KS	miles (km)	81687	2001	2001
Martinsville Speedway	Ridgeway, VA	miles (km)	65000	1947	2004
Michigan International Speedway	Brooklyn, MI	miles (km)	137243	1968	1999
Phoenix International Raceway	Avondale, AZ	miles (km)	76812	1964	1997
Richmond International Raceway	Richmond, VA	miles (km)	107097	1946	1999
Route 66 Raceway	Joliet, IL	miles (km) dragstrip	30000	1998	2007
Talladega Superspeedway	Talladega, AL	miles (km)	175000	1969	1969
