Game	Date	Opponent	Result	Nuggets points	Opponents	Record	Streak
1	November 3	@ LA Lakers	Loss	96	98	0-1	Lost 1
2	November 4	San Antonio	Loss	108	116	0-2	Lost 2
3	November 7	@ Golden State	Loss	93	98	0-3	Lost 3
4	November 8	Seattle	Loss	117	122	0-4	Lost 4
5	November 10	@ Utah	Loss	86	109	0-5	Lost 5
6	November 12	@ LA Clippers	Loss	103	108	0-6	Lost 6
7	November 15	@ Phoenix	Win	137	127	1-6	Won 1
8	November 17	New York	Loss	94	103	1-7	Lost 1
9	November 18	@ Houston	Loss	97	101	1-8	Lost 2
10	November 21	Atlanta	Win	107	99	2-8	Won 1
11	November 24	@ Dallas	Win	112	109	3-8	Won 2
12	November 25	Utah	Win	94	91	4-8	Won 3
13	November 28	@ Sacramento	Loss	85	91	4-9	Lost 1
14	December 2	Minnesota	Win	109	105	5-9	Won 1
15	December 4	Detroit	Win	85	82	6-9	Won 2
16	December 7	@ Utah	Win	124	119	7-9	Won 3
17	December 8	Phoenix	Win	103	98	8-9	Won 4
18	December 11	@ Philadelphia	Win	104	91	9-9	Won 5
19	December 12	@ Indiana	Loss	92	125	9-10	Lost 1
20	December 14	@ New York	Win	103	94	10-10	Won 1
21	December 16	@ Atlanta	Loss	86	95	10-11	Lost 1
22	December 17	@ Cleveland	Loss	79	92	10-12	Lost 2
23	December 20	Golden State	Win	109	104	11-12	Won 1
24	December 21	@ San Antonio	Loss	96	114	11-13	Lost 1
25	December 23	LA Clippers	Loss	92	107	11-14	Lost 2
26	December 26	Dallas	Win	114	102	12-14	Won 1
27	December 27	@ Seattle	Loss	83	99	12-15	Lost 1
28	December 29	@ Phoenix	Loss	92	103	12-16	Lost 2
29	December 30	Philadelphia	Win	108	100	13-16	Won 1
30	January 2	Indiana	Loss	87	102	13-17	Lost 1
31	January 4	@ Sacramento	Loss	96	126	13-18	Lost 2
32	January 6	Miami	Loss	86	88	13-19	Lost 3
33	January 7	@ LA Lakers	Win	96	93	14-19	Won 1
34	January 10	@ Vancouver	Win	91	85	15-19	Won 2
35	January 12	Cleveland	Win	90	83	16-19	Won 3
36	January 13	Portland	Loss	117	118	16-20	Lost 1
37	January 16	@ Portland	Loss	69	87	16-21	Lost 2
38	January 17	Houston	Loss	112	120	16-22	Lost 3
39	January 20	Sacramento	Loss	110	115	16-23	Lost 4
40	January 24	@ Seattle	Loss	79	86	16-24	Lost 5
41	January 25	@ LA Clippers	Loss	93	94	16-25	Lost 6
42	January 27	Toronto	Win	93	82	17-25	Won 1
43	January 30	@ Minnesota	Win	88	86	18-25	Won 2
44	February 1	@ Milwaukee	Loss	102	108	18-26	Lost 1
45	February 4	Chicago	Win	105	99	19-26	Won 1
46	February 6	LA Lakers	Loss	78	99	19-27	Lost 1
47	February 8	LA Clippers	Win	115	95	20-27	Won 1
48	February 13	@ Orlando	Loss	93	121	20-28	Lost 1
49	February 15	@ Miami	Loss	91	97	20-29	Lost 2
50	February 16	@ Charlotte	Loss	100	107	20-30	Lost 3
51	February 18	Boston	Win	117	93	21-30	Won 1
52	February 22	@ Portland	Loss	78	107	21-31	Lost 1
53	February 24	Utah	Win	99	90	22-31	Won 1
54	February 27	Washington	Win	96	92	23-31	Won 2
55	February 29	Dallas	Loss	120	137	23-32	Lost 1
56	March 2	Vancouver	Win	108	82	24-32	Won 1
57	March 4	San Antonio	Loss	90	101	24-33	Lost 1
58	March 6	@ San Antonio	Loss	90	100	24-34	Lost 2
59	March 7	Phoenix	Win	103	92	25-34	Won 1
60	March 9	Golden State	Win	102	88	26-34	Won 2
61	March 10	New Jersey	Loss	88	99	26-35	Lost 1
62	March 12	Orlando	Win	110	93	27-35	Won 1
63	March 15	@ Chicago	Loss	87	108	27-36	Lost 1
64	March 17	@ Detroit	Loss	81	91	27-37	Lost 2
65	March 18	@ Toronto	Win	122	114	28-37	Won 1
66	March 21	@ New Jersey	Loss	89	97	28-38	Lost 1
67	March 22	@ Boston	Loss	98	99	28-39	Lost 2
68	March 24	@ Washington	Loss	90	92	28-40	Lost 3
69	March 26	Charlotte	Loss	112	119	28-41	Lost 4
70	March 28	@ Vancouver	Win	92	88	29-41	Won 1
71	March 30	Milwaukee	Win	98	85	30-41	Won 2
72	April 2	Minnesota	Win	86	78	31-41	Won 3
73	April 4	@ Golden State	Loss	90	98	31-42	Lost 1
74	April 5	Portland	Loss	91	97	31-43	Lost 2
75	April 7	Houston	Win	111	105	32-43	Won 1
76	April 9	LA Lakers	Win	98	91	33-43	Won 2
77	April 11	@ Houston	Loss	109	113	33-44	Lost 1
78	April 14	@ Minnesota	Win	98	91	34-44	Won 1
79	April 15	Sacramento	Loss	86	90	34-45	Lost 1
80	April 18	@ Dallas	Loss	98	132	34-46	Lost 2
81	April 19	Vancouver	Loss	78	92	34-47	Lost 3
82	April 21	Seattle	Win	99	88	35-47	Won 1
