Block	Episode Title	Director	Writer	Producer	Code
1	" Voyage of the Damned "	James Strong	Russell T Davies	Phil Collinson	4X
2	" The Unicorn and the Wasp " " Planet of the Ood "	Graeme Harper	Gareth Roberts Keith Temple	Susie Liggat	4.7 4.2
3	" The Fires of Pompeii "	Colin Teague	James Moran	Phil Collinson	4.3
4	" Partners in Crime " " Time Crash "	James Strong Graeme Harper	Russell T Davies Steven Moffat	Phil Collinson	4.1 CIN2
5	" The Sontaran Stratagem " " The Poison Sky "	Douglas Mackinnon	Helen Raynor	Susie Liggat	4.4 4.5
6	" The Doctor's Daughter " " Midnight "	Alice Troughton	Stephen Greenhorn Russell T Davies	Phil Collinson	4.6 4.8
7	" Silence in the Library " " Forest of the Dead "	Euros Lyn	Steven Moffat	Phil Collinson	4.9 4.10
8	" Turn Left "	Graeme Harper	Russell T Davies	Susie Liggat	4.11
9	" The Stolen Earth " " Journey's End "	Graeme Harper	Russell T Davies	Phil Collinson	4.12 4.13
10	" The Next Doctor " " Music of the Spheres "	Andy Goddard Euros Lyn	Russell T Davies	Susie Liggat Catrin Lewis Defis	4.14 —
