Title	Series	Director	Production Number	Release date
I Was a Teenage Thumb	MM	Chuck Jones Co-Dir: Maurice Noble	1578	1963-01-19
Devil's Feud Cake	MM	Friz Freleng	1653	1963-02-09
Fast Buck Duck	MM	Robert McKimson Co-Dir: Ted Bonnicksen	1617	1963-03-09
Million Hare	LT	Robert McKimson	1610	1963-04-06
Mexican Cat Dance	LT	Friz Freleng	1614	1963-04-20
Now Hear This	LT	Chuck Jones Co-Dir: Maurice Noble	1611	1963-04-27
Woolen Under Where	MM	Phil Monroe Richard Thompson	1620	1963-05-11
Hare-Breadth Hurry	LT	Chuck Jones Co-Dir: Maurice Noble	1663	1963-06-08
Banty Raids	MM	Robert McKimson	1613	1963-06-29
Chili Weather	MM	Friz Freleng	1650	1963-08-17
The Unmentionables	MM	Friz Freleng	1622	1963-09-07
Aqua Duck	MM	Robert McKimson	1619	1963-09-28
Mad as a Mars Hare	MM	Chuck Jones Co-Dir: Maurice Noble	1667	1963-10-19
Claws in the Lease	MM	Robert McKimson	1654	1963-11-09
Transylvania 6-5000	MM	Chuck Jones Co-Dir: Maurice Noble	1621	1963-11-30
To Beep or Not to Beep	MM	Chuck Jones Co-Dir: Maurice Noble	1658	1963-12-28
