District	Incumbent	Party	First elected	Result	Candidates
Virginia 1	John G. Jackson	Democratic-Republican	1803 1813	Retired Federalist gain	James Pindall (F) 100%
Virginia 4	William McCoy	Democratic-Republican	1811	Re-elected	William McCoy (DR)
Virginia 5	James Breckinridge	Federalist	1809	Retired Democratic-Republican gain	John Floyd (DR) 57.6 Elijah MacClannahan (F) 42.4%
Virginia 7	Ballard Smith	Democratic-Republican	1815	Re-elected	Ballard Smith (DR) 94.7% John Gray (F) 5.3%
Virginia 11	Philip P. Barbour	Democratic-Republican	1814 (special)	Re-elected	Philip P. Barbour (DR)
Virginia 14	William A. Burwell	Democratic-Republican	1806 (special)	Re-elected	William A. Burwell (DR)
Virginia 15	John Kerr	Democratic-Republican	1815 ( special )	Retired Democratic-Republican hold	William J. Lewis (DR) 100%
Virginia 17	James Pleasants	Democratic-Republican	1811	Re-elected	James Pleasants (DR) 100%
Virginia 18	Thomas M. Nelson	Democratic-Republican	1816 ( special )	Re-elected	Thomas M. Nelson (DR) 100%
Virginia 19	Peterson Goodwyn	Democratic-Republican	1803	Re-elected	Peterson Goodwyn (DR) 96.9% John Pegram (DR) 3.1%
Virginia 20	James Johnson	Democratic-Republican	1813	Re-elected	James Johnson (DR) 100%
Virginia 22	Hugh Nelson	Democratic-Republican	1811	Re-elected	Hugh Nelson (DR) 72.7% Thomas W. Maury (DR) 27.3%
