Scorer	Club	League goals	FA Cup goals	League Cup goals	Total
John Hickton	Middlesbrough	23	4	0	27
John Byrom	Bolton Wanderers	20	0	5	25
Barry Bridges	Queens Park Rangers	21	1	1	23
Rodney Marsh	Queens Park Rangers	12	4	7	23
Alan Woodward	Sheffield United	18	0	3	21
Arthur Horsfield	Swindon Town	16	4	0	20
Brian Clark	Cardiff City	18	0	0	20
John Toshack	Cardiff City	17	1	0	20
Frank Worthington	Huddersfield Town	18	1	0	19
Derek Possee	Millwall	18	1	0	19
Chris Chilton	Hull	18	0	1	19
Peter Noble	Swindon Town	15	1	3	19
Ken Wagstaff	Hull	18	0	0	18
Ray Hiron	Portsmouth	18	0	0	18
Fred Pickering	Blackpool	17	1	0	18
Rodney Fern	Leicester City	16	0	1	17
Ken Houghton	Hull	16	0	0	16
Gil Reece	Sheffield United	14	0	1	15
Bob Hatton	Carlisle United	13	1	1	15
Don Martin	Blackburn Rovers	13	0	2	15
Chris Balderstone	Carlisle United	12	1	1	14
Barry Endean	Watford	10	3	1	14
Peter King	Cardiff City	10	1	0	14
Phil Summerill	Birmingham City	13	0	0	13
Jim Storrie	Portsmouth / Rotherham	13	0	0	13
Ken Skeen	Oxford United	9	1	3	13
Bert Murray	Birmingham	12	0	0	12
Albert McCann	Portsmouth	12	0	0	12
Tony Currie	Sheffield United	12	0	0	12
Joe Laidlaw	Middlesbrough	11	1	0	12
Roger Hunt	Bolton Wanderers / Liverpool	6+5	0	0	12
John Tudor	Sheffield United	10	2	0	12
Andy Lochhead	Leicester City	6	2	4	12
Ken Foggo	Norwich City	11	0	0	11
Gerry Sharpe	Bristol City	10	0	1	11
John Galley	Bristol City	10	0	0	10
Peter Silverster	Norwich City	10	0	0	10
Nicky Jennings	Portsmouth	10	0	0	10
Don Rogers	Swindon Town	9	1	0	10
Keith Weller	Millwall	9	0	1	10
Hughie McIlmoyle	Middlesbrough / Carlisle United	6+2	0	2	10
