Year	Title	Sales certified	Certification (France)	Peak position
FR	FR (DD)	BE (WA)	BE (FL)	SUI
1983	"Little Girls"	—	—	—
1985	"Back to Tokyo"	—	—	—
1989	"Kennedy Boulevard"	—	—	—
1991	"Aretha et moi"	—	—	—
1992	"Elle danse seule"	—	—	—
1993	"Je t'attends"	—	—	13
1993	" Sensualité "	250,000	Gold (1994)	2
1993	"Le Monde tourne mal"	—	—	38
1996	"À Tâtons"	—	—	—
1997	"Rien que d'y penser"	—	—	—
1997	"Mon Café"	—	—	—
1997	"Ma Prière"	—	—	—
1998	"À quoi ça sert"	—	—	45
1998	"Rester femme"	125,000	Silver (1998)	9
1998	"La Cour des Grands"	—	—	16
1999	"Ce Matin"	—	—	17
1999	"Faire des mamours"	—	—	—
1999	"Parce que c'est toi"	250,000	Gold (2000)	2
2000	"Bimbo à moi"	—	—	44
2000	"J'ai jamais dit (je serai ton amie)" (radio mix)	—	—	—
2001	"Aretha et moi" (live)	—	—	—
2002	" Manhattan-Kaboul "	500,000	Platinum (2002)	2
2002	"Je me fâche"	—	—	56
2003	"Pas maintenant"	—	—	61
2003	"Venez vers moi"	—	—	—
2003	"Toujours"	—	—	—
2004	"Gloria"	—	—	—
2004	"Je pense à toi"	—	—	—
2005	"J'ai fait un rêve"	—	—	—
2006	"Changer ma vie"	—	—	—
2006	"Temps pour nous"	—	—	67
2007	"Si tu savais (Janelle)"	—	—	—
2007	"Naïve"	—	—	—
2007	"Over 't Water"	—	—	—
2011	"La claque"	—	—	—
2013	"Rouge ardent"	—	—	89
