Character	French voice actor	Italian voice actor	German voice actor	Spanish voice actor
Daxter	Xavier Fagnon	Daniele Demma	Erik Borner	Blanca Rada
Jak	Damien Boisseau	Claudio Moneta	Andreas Gröber	Ricardo Escobar
Samos the Sage	Marc Alfos	Giovanni Battezzato	Michael Lucke	Aparicio Rivero
Keira	Sophie Arthuys	Stephania Patruno	Sylvia Steiner	Mercedes Cepeda
G.T. Blitz/Mizo	Antoine Tomé	Diego Sabre	Gilles Karolyi	Jorge Teixeira
Sig	Pascal Renwick	Diego Sabre	Peter Wenke	David García
Razer	Mathias Kozlowski	Luca Sandri	Sebastian Walch	Alejandro García
Ashelin	Vanina Pradier	Stephania Patruno	Susanne Grawe	Mercedes Cepeda
Pecker	Pascal Renwick	Oliviero Corbetta	Peter Wenke	Jorge Texeira
Torn	Thierry Mercier	Oliviero Corbetta	Michael Betz	Roberto Encinas
Kleiver	Martial Le Minoux	Tony Fuochi	Achim Barrenstein	Salvador Aldeguer
Rayn	Véronique Desmadryl	Emanuela Damasio	Rita Rhingeanu	Conchi López
Krew	Alain Dorval	Stefano Albertini	Mario Hassert	Salvador Serrano
Ratchet	Marc Saez	Simone D'Andrea	Dirk Fenselau	Javier Romano
Osmo	Dennis Boileau	Massimo Rovatti	Michael Deckner	Rafael Torres
Kaeden	Stéfan Godin	Andrea Denisco	Karl-Jürgen Sihler	Antonio Fernández
Taryn	Emmanuelle Bondeville	Angiolina Gobbi	Petra Buschkämper	Mayte Torres
Ximon	Marc Saez	Massimo Di Benedetto	Linus Kraus	Jesús Pinillos
