Week	Date	Opponent	Result	Attendance
1	September 25, 1960	New York Giants	L 21-19	44,598
2	October 2, 1960	Los Angeles Rams	W 13-9	53,633
3	October 9, 1960	at Detroit Lions	W 14-10	49,825
4	October 16, 1960	at Chicago Bears	L 27-10	48,226
5	October 23, 1960	at Green Bay Packers	L 41-14	39,914
6	October 30, 1960	Chicago Bears	W 25-7	55,071
7	November 6, 1960	Detroit Lions	L 24-0	48,447
8	Bye	Bye	Bye	Bye
9	November 20, 1960	at Dallas Cowboys	W 26-14	10,000
10	November 27, 1960	at Baltimore Colts	W 30-22	57,808
11	December 4, 1960	at Los Angeles Rams	W 23-7	77,254
12	December 10, 1960	Green Bay Packers	L 13-0	53,612
13	December 18, 1960	Baltimore Colts	W 34-10	57,269
