Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 2	Cincinnati Bengals	W 20–17	Mile High Stadium	1–0	74178
2	September 9	at Chicago Bears	L 0–27	Soldier Field	1–1	54335
3	September 16	at Cleveland Browns	W 24–14	Cleveland Stadium	2–1	61980
4	September 23	Kansas City Chiefs	W 21–0	Mile High Stadium	3–1	74263
5	September 30	Los Angeles Raiders	W 16–13	Mile High Stadium	4–1	74833
6	October 7	at Detroit Lions	W 28–7	Pontiac Silverdome	5–1	55836
7	October 15	Green Bay Packers	W 17–14	Mile High Stadium	6–1	62546
8	October 21	at Buffalo Bills	W 37–7	Rich Stadium	7–1	31204
9	October 28	at Los Angeles Raiders	W 22–19 (OT)	Los Angeles Memorial Coliseum	8–1	91020
10	November 4	New England Patriots	W 26–19	Mile High Stadium	9–1	74908
11	November 11	at San Diego Chargers	W 16–13	Jack Murphy Stadium	10–1	53162
12	November 18	Minnesota Vikings	W 42–21	Mile High Stadium	11–1	74716
13	November 25	Seattle Seahawks	L 24–27	Mile High Stadium	11–2	74922
14	December 2	at Kansas City Chiefs	L 13–16	Arrowhead Stadium	11–3	38494
15	December 9	San Diego Chargers	W 16–13	Mile High Stadium	12–3	74867
