Date	Opponent	Score	Loss	Attendance	Record
April 2	@ Cubs	8 - 2	Lilly (0-1)	39,468	2-0
April 3	@ Cubs	6 - 3	Bush (0-1)	37,973	2-1
April 4	Giants	13 - 4	Sánchez (0-1)	45,212	3-1
April 5	Giants	5 - 4	Correia (0-1)	30,574	4-1
April 6	Giants	7 - 0	Zito (0-1)	44,014	5-1
April 8	Reds	3 - 2 (10)	Weathers (0-1)	27,717	6-1
April 9	Reds	12 - 4	Bush (0-2)	31,313	6-2
April 10	Reds	4 - 1	Villanueva (1-1)	25,023	6-3
April 11	@ Mets	4 - 2	Parra (1-1)	46,214	6-4
April 12	@ Mets	5 - 3	Santana (1-2)	54,701	7-4
April 13	@ Mets	9 - 7	Sosa (1-1)	52,794	8-4
April 15	@ Cardinals	6 - 1	Bush (0-3)	39,438	8-5
April 16	@ Cardinals	5 - 4	Villanueva (1-2)	40,712	8-6
April 17	@ Cardinals	5 - 3 (10)	Thompson (1-1)	36,850	9-6
April 18	@ Reds	5 - 2	Arroyo (0-2)	32,629	10-6
April 19	@ Reds	5 - 3 (10)	Weathers (0-2)	26,410	11-6
April 20	@ Reds	4 - 3 (10)	Gagné (1-1)	26,902	11-7
April 21	Cardinals	4 - 3	Turnbow (0-1)	31,240	11-8
April 22	Cardinals	9 - 8 (12)	Isringhausen (1-1)	23,478	12-8
April 23	Phillies	5 - 4	Hamels (2-3)	30,548	13-8
April 24	Phillies	3 - 1	Riske (0-1)	23,905	13-9
April 25	Marlins	3 - 0	Mota (1-1)	40,088	13-10
April 26	Marlins	4 - 3	Pinto (1-1)	44,169	14-10
April 27	Marlins	3 - 2	McClung (1-1)	41,656	14-11
April 29	@ Cubs	10 - 7	Marquis (1-1)	39,543	15-11
April 30	@ Cubs	19 - 5	Suppan (1-1)	39,908	15-12
