Player	Nationality	Position	From	School/Country
, Earl Gardner	United States	Forward	1948	DePauw
, Dick Garmaker	United States	Guard/Forward	1955	Minnesota
Garrett, Calvin Calvin Garrett	United States	Forward	1983	Oral Roberts
, Dick Garrett	United States	Guard	1969	Southern Illinois
, Pau Gasol	Spain	Forward/Center	2008	Spain
, Devean George	United States	Forward	1999	Augsburg
, Mel Gibson	United States	Guard	1963	Western Carolina
, Norman Glick	United States	Forward	1949	Loyola Marymount
Gail Goodrich *^	United States	Guard	1965 1970	UCLA
, Andrew Goudelock	United States	Guard	2011	Charleston
, Brian Grant	United States	Forward/Center	2004	Xavier
, Bud Grant	United States	Forward	1949	Minnesota
, Horace Grant	United States	Forward/Center	2000 2003	Clemson
, Travis Grant	United States	Forward	1950	Kentucky State
, A.C. Green	United States	Forward	1985 1999	Oregon State
, Jerry Grote	United States	Guard	1964	Loyola Marymount
, Pétur Guðmundsson	Iceland	Center	1985	Washington
