Date	Venue	Score	Result	Competition
23 February 2006	Auckland , New Zealand	1	2–1 (L)	Friendly
10 October 2008	Kuala Lumpur , Malaysia	1	4–1 (W)	Friendly
15 October 2008	Kelana Jaya , Malaysia	2	4–0 (W)	2008 Merdeka Tournament
20 October 2008	Kuala Lumpur , Malaysia	1	6–0 (W)	2008 Merdeka Tournament
23 October 2008	Kuala Lumpur , Malaysia	1	4–0 (W)	2008 Merdeka Tournament
6 December 2008	Phuket , Thailand	2	3–0 (W)	2008 AFF Suzuki Cup
15 December 2010	Kuala Lumpur , Malaysia	2	2–0 (W)	2010 AFF Suzuki Cup
26 December 2010	Kuala Lumpur , Malaysia	2	3–0 (W)	2010 AFF Suzuki Cup
29 December 2010	Jakarta , Indonesia	1	2–1 (L)	2010 AFF Suzuki Cup
23 July 2011	Jalan Besar , Singapore	2	5–3 (L)	2014 FIFA World Cup qualification (AFC)
28 July 2011	Kuala Lumpur , Malaysia	1	1–1 (D)	2014 FIFA World Cup qualification (AFC)
16 November 2011	Kolkata , India	2	3–2 (L)	Friendly
16 October 2012	Mong Kok , Hong Kong	1	3–0 (W)	Friendly
14 November 2012	Shah Alam , Malaysia	1	1–1 (D)	Friendly
28 November 2012	Kuala Lumpur , Malaysia	1	4–1 (W)	2012 AFF Suzuki Cup
