No. in series	No. in season	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
119	2	"Room Service"	Kenneth Fink	Dustin Lee Abraham & Henry Alonso Myers	September29,2005	28.00
121	4	"Shooting Stars"	Danny Cannon	Danny Cannon	October13,2005	28.34
122	5	"Gum Drops"	Richard J. Lewis	Sarah Goldfinger	October20,2005	28.48
123	6	"Secrets and Flies"	Terrence O'Hara	Josh Berman	November3,2005	28.73
124	7	"A Bullet Runs Through It (Part 1)"	Danny Cannon	Richard Catalani & Carol Mendelsohn	November10,2005	29.55
125	8	"A Bullet Runs Through It (Part 2)"	Kenneth Fink	Richard Catalani & Carol Mendelsohn	November17,2005	28.98
126	9	"Dog Eat Dog"	Duane Clark	Allen MacDonald & Dustin Lee Abraham	November24,2005	25.72
127	10	"Still Life"	Richard J. Lewis	David Rambo	December8,2005	30.95
128	11	"Werewolves"	Kenneth Fink	Josh Berman	January5,2006	27.23
130	13	"Kiss-Kiss, Bye-Bye"	Danny Cannon	David Rambo	January26,2006	25.86
132	15	"Pirates of the Third Reich"	Richard J. Lewis	Jerry Stahl	February9,2006	27.42
133	16	"Up in Smoke"	Duane Clark	Josh Berman	March2,2006	27.81
134	17	"I Like to Watch"	Kenneth Fink	Richard Catalani & Henry Alonso Myers	March9,2006	27.16
135	18	"The Unusual Suspect"	Alec Smight	Allen MacDonald	March30,2006	25.23
136	19	"Spellbound"	Jeffrey Hunt	Jacqueline Hoyt	April6,2006	23.33
137	20	"Poppin' Tags"	Bryan Spicer	Dustin Lee Abraham	April13,2006	24.42
138	21	"Rashomama"	Kenneth Fink	Sarah Goldfinger	April27,2006	27.36
140	23	"Bang-Bang" (Part 1)	Terrence O'Hara	Naren Shankar & Anthony E. Zuiker	May11,2006	27.04
