Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
2013	Lin Dan	Ratchanok Inthanon	Muhammad Ahsan Hendra Setiawan	Wang Xiaoli Yu Yang	Tontowi Ahmad Lilyana Natsir
2011	Lin Dan	Wang Yihan	Cai Yun Fu Haifeng	Wang Xiaoli Yu Yang	Zhang Nan Zhao Yunlei
2010	Chen Jin	Wang Lin	Cai Yun Fu Haifeng	Du Jing Yu Yang	Zheng Bo Ma Jin
2009	Lin Dan	Lu Lan	Cai Yun Fu Haifeng	Zhang Yawen Zhao Tingting	Thomas Laybourn Kamilla Rytter Juhl
2007	Lin Dan	Zhu Lin	Markis Kido Hendra Setiawan	Zhang Jiewen Yang Wei	Nova Widianto Lilyana Natsir
2006	Lin Dan	Xie Xingfang	Cai Yun Fu Haifeng	Gao Ling Huang Sui	Nathan Robertson Gail Emms
2005	Taufik Hidayat	Xie Xingfang	Howard Bach Tony Gunawan	Yang Wei Zhang Jiewen	Nova Widianto Lilyana Natsir
2003	Xia Xuanze	Zhang Ning	Lars Paaske Jonas Rasmussen	Gao Ling Huang Sui	Kim Dong-moon Ra Kyung-min
2001	Hendrawan	Gong Ruina	Halim Haryanto Tony Gunawan	Gao Ling Huang Sui	Zhang Jun Gao Ling
1999	Sun Jun	Camilla Martin	Ha Tae-kwon Kim Dong-moon	Ge Fei Gu Jun	Kim Dong-moon Ra Kyung-min
1997	Peter Rasmussen	Ye Zhaoying	Candra Wijaya Sigit Budiarto	Ge Fei Gu Jun	Liu Yong Ge Fei
1995	Heryanto Arbi	Ye Zhaoying	Rexy Mainaky Ricky Subagja	Gil Young-ah Jang Hye-ock	Thomas Lund Marlene Thomsen
1993	Joko Suprianto	Susi Susanti	Ricky Subagja Rudy Gunawan	Nong Qunhua Zhou Lei	Thomas Lund Catrine Bengtsson
1991	Zhao Jianhua	Tang Jiuhong	Park Joo-bong Kim Moon-soo	Guan Weizhen Nong Qunhua	Park Joo-bong Chung Myung-hee
1989	Yang Yang	Li Lingwei	Li Yongbo Tian Bingyi	Lin Ying Guan Weizhen	Park Joo-bong Chung Myung-hee
1987	Yang Yang	Han Aiping	Li Yongbo Tian Bingyi	Lin Ying Guan Weizhen	Wang Pengren Shi Fangjing
1985	Han Jian	Han Aiping	Park Joo-bong Kim Moon-soo	Han Aiping Li Lingwei	Park Joo-bong Yoo Sang-hee
1983	Icuk Sugiarto	Li Lingwei	Steen Fladberg Jesper Helledie	Lin Ying Wu Dixi	Thomas Kihlström Nora Perry
1980	Rudy Hartono	Verawaty Wiharjo	Ade Chandra Christian Hadinata	Nora Perry Jane Webster	Christian Hadinata Imelda Wiguno
