Version	Release	Release date	End of maintenance	Requirement
1.0	1.0	December 3, 2008	December 31, 2010	PHP 5.1.0 or above
1.0	1.0.1	January 4, 2009	December 31, 2010	PHP 5.1.0 or above
1.0	1.0.2	February 1, 2009	December 31, 2010	PHP 5.1.0 or above
1.0	1.0.3	March 1, 2009	December 31, 2010	PHP 5.1.0 or above
1.0	1.0.4	April 5, 2009	December 31, 2010	PHP 5.1.0 or above
1.0	1.0.5	May 10, 2009	December 31, 2010	PHP 5.1.0 or above
1.0	1.0.6	June 7, 2009	December 31, 2010	PHP 5.1.0 or above
1.0	1.0.7	July 5, 2009	December 31, 2010	PHP 5.1.0 or above
1.0	1.0.8	August 9, 2009	December 31, 2010	PHP 5.1.0 or above
1.0	1.0.9	September 6, 2009	December 31, 2010	PHP 5.1.0 or above
1.0	1.0.10	October 18, 2009	December 31, 2010	PHP 5.1.0 or above
1.0	1.0.11	December 13, 2009	December 31, 2010	PHP 5.1.0 or above
1.0	1.0.12	March 14, 2010	December 31, 2010	PHP 5.1.0 or above
1.1	1.1.0	January 10, 2010	December 31, 2015 or later	PHP 5.1.0 or above
1.1	1.1.1	March 14, 2010	December 31, 2015 or later	PHP 5.1.0 or above
1.1	1.1.2	May 2, 2010	December 31, 2015 or later	PHP 5.1.0 or above
1.1	1.1.3	July 4, 2010	December 31, 2015 or later	PHP 5.1.0 or above
1.1	1.1.4	September 5, 2010	December 31, 2015 or later	PHP 5.1.0 or above
1.1	1.1.5	November 14, 2010	December 31, 2015 or later	PHP 5.1.0 or above
1.1	1.1.6	January 16, 2011	December 31, 2015 or later	PHP 5.1.0 or above
1.1	1.1.7	March 27, 2011	December 31, 2015 or later	PHP 5.1.0 or above
1.1	1.1.8	June 26, 2011	December 31, 2015 or later	PHP 5.1.0 or above
1.1	1.1.9	January 1, 2012	December 31, 2015 or later	PHP 5.1.0 or above
1.1	1.1.10	February 12, 2012	December 31, 2015 or later	PHP 5.1.0 or above
1.1	1.1.11	July 29, 2012	December 31, 2015 or later	PHP 5.1.0 or above
1.1	1.1.12	August 19, 2012	December 31, 2015 or later	PHP 5.1.0 or above
1.1	1.1.13	December 30, 2012	December 31, 2015 or later	PHP 5.1.0 or above
1.1	1.1.14	August 11, 2013	December 31, 2015 or later	PHP 5.1.0 or above
