Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 24, 1960	Pittsburgh Steelers	L 28–35	Cotton Bowl	0–1	30,000
2	September 30, 1960	Philadelphia Eagles	L 25–27	Cotton Bowl	0–2	18,500
3	October 9, 1960	at Washington Redskins	L 14–26	Griffith Stadium	0–3	21,142
4	October 16, 1960	Cleveland Browns	L 7–48	Cotton Bowl	0–4	28,500
5	October 23, 1960	at St. Louis Cardinals	L 10–12	Busch Stadium	0–5	23,128
6	October 30, 1960	Baltimore Colts	L 7–45	Cotton Bowl	0–6	25,500
7	November 6, 1960	Los Angeles Rams	L 13–38	Cotton Bowl	0–7	16,000
8	November 13, 1960	at Green Bay Packers	L 7–41	Lambeau Field	0–8	32,294
9	November 20, 1960	San Francisco 49ers	L 14–26	Cotton Bowl	0–9	10,000
10	November 27, 1960	at Chicago Bears	L 7–17	Wrigley Field	0–10	39,951
11	December 4, 1960	at New York Giants	T 31–31	Yankee Stadium	0–10–1	55,033
12	December 11, 1960	at Detroit Lions	L 14–23	Briggs Stadium	0–11–1	43,272
13	Bye	Bye	Bye	Bye	Bye	Bye
