Starting price	Number	Name	Age	Weight (st, lb)	Jockey	Trainer	Owner	Colours
50/1	4	Therealbandit	9	11-9	Richard Johnson	Martin Pipe	David Johnson	Blue with green sleeves and red cap
100/1	7	Native Upmanship	13	11-0	Conor O'Dwyer	Arthur Moore (Ireland)	Sue Magnier	Navy blue
10/1	8	Innox	10	10-13	Robert Thornton	François Doumen (France)	J. P. McManus	Green and orange hoops, green cap with white star
100/1	10	Whispered Secret	7	10-12	Rodi Greene	Martin Pipe	David Manasseh & Dan Levine	Blue with yellow piping and chevrons on sleeves
100/1	11	Rince Ri	13	10-12	Andrew McNamara	Ted Walsh (Ireland)	Frank Moriarty	Claret and white stripes with checked cap
100/1	15	First Gold	13	10-10	Richard McGrath	François Doumen (France)	J. P. McManus	Green and orange hoops with purple cap
5/1 JF	16	Clan Royal	11	10-10	Tony McCoy	Jonjo O'Neill	J. P. McManus	Green and orange hoops with white cap
33/1	18	Sir Oj	9	10-10	Paul Carberry	Noel Meade (Ireland)	Brian Keenan	Claret and pink checks
33/1	19	Forest Gunner	12	10-10	Ms. Nina Carberry	Richard Ford	John Gilsenan	White with red braces, black sleeves and red cap
11/1	25	Garvivonnian	11	10-8	Garrett Cotter	Ned Mitchell (Ireland)	Angela Long	Red and yellow diablo and checked cap
11/1	26	Numbersixvalverde	10	10-8	Niall Madden	Martin Brassill (Ireland)	Bernard Carroll	Green, black sleeves, white cap
33/1	30	Nil Desperandum	9	10-7	Tommy Treacy	Frances Crowley (Ireland)	Mike Shone	Red, white sleeves, red and grey quartered cap
66/1	31	Baron Windrush	8	10-7	Carl Llewellyn	Nigel Twiston-Davies	Double Octagon Partnership	Yellow and orange diamonds, yellow sleeves and cap
66/1	32	Heros Collonges	11	10-7	J. P. McNamara	Paul Nicholls	Merchant Rentals plc	Grey, blue V, sleeves, star on cap
100/1	33	Tyneandthyneagain	11	10-7	Peter Buchanan	Howard Johnson	Howard Johnson	Red, blue chevrons, hooped cap
66/1	34	Risk Accessor	11	10-06	Noel Fehily	Jonjo O'Neill	J. P. McManus	Green and orange hoops, purple cap
