Place	Player	Country	Score	To par	Money ( $ )
T1	Byron Nelson	United States	68-67-72-73=280	–8	Playoff
T1	Ben Hogan	United States	73-70-67-70=280	–8	Playoff
3	Paul Runyan	United States	67-73-72-71=283	–5	600
4	Sam Byrd	United States	68-68-75-74=285	–3	500
5	Horton Smith	United States	67-73-74-73=287	–1	400
6	Jimmy Demaret	United States	70-70-75-75=290	+2	300
T7	E.J. "Dutch" Harrison	United States	74-70-71-77=292	+4	200
T7	Lawson Little	United States	71-74-72-75=292	+4	200
T7	Sam Snead	United States	78-69-72-73=292	+4	200
T10	Chick Harbert	United States	73-73-72-75=293	+5	100
T10	Gene Kunes	United States	74-74-74-71=293	+5	100
