Six at	Number of editions	First ridden	Last ridden	Most wins by
Adelaide (SA)	6	1960	1967	Sid Patterson , Nino Solari (2)
Amsterdam Six Days of Amsterdam	15	1932	2012	Danny Stam (4)
Antwerp	52	1934	1994	Peter Post (11)
Apeldoorn	1	2009	2009	Leon van Bon , Pim Ligthart en Robert Bartko (1)
Århus	9	1954	1961	Kay Werner Nielsen (4)
Bendigo (Vic)	1	1960	1960	Bill Lawrie , Vic Brown (1)
Berlin	101	1909	2013	Klaus Bugdahl (9)
Bremen	47	1910	2012	René Pijnen (7)
Breslau	8	1921	1931	Piet van Kempen , Willy Rieger (3)
Brisbane (Qld)	1	1932	1932	Richard Lamb , Jack Standen (1)
Brussels	46	1912	1971	Rik van Steenbergen (8)
Charleroi	3	1967	1969	Patrick Sercu (2)
Chicago	50	1915	1957	Gustav Kilian (6)
Cologne	46	1928	1997	Albert Fritz (6)
Copenhagen	47	1933	2012	Danny Clark (8)
Cremona	1	2009	2009	Walter Pérez , Sebastian Donadio (1)
Dortmund	67	1926	2008	Patrick Sercu, Rolf Aldag (8)
Fiorenzuola d'Arda	12	1998	2012	Franco Marvulli (4)
Frankfurt	37	1911	1983	Dietrich Thurau , Patrick Sercu (5)
Ghent Six Days of Ghent	70	1922	2012	Patrick Sercu (11)
Groningen	4	1970	1979	Klaus Bugdahl, Dieter Kemper (2)
Hanover	10	1913	1981	Emile Carrara (2)
Hasselt	4	2006	2009	Bruno Risi, Franco Marvulli (2)
Herning	14	1974	1998	Gert Frank (5)
Launceston (Tas)	21	1961	1987	Keith Oliver (4)
London	21	1923	1980	Patrick Sercu (8)
Maastricht	13	1976	2006	René Pijnen (6)
Melbourne (Vic)	18	1912	1983	Leandro Faggin , Sid Patterson (3)
Milan	29	1927	2008	Francesco Moser (6)
Montréal	37	1929	1980	William Peden (7)
Munich	46	1933	2009	Bruno Risi (9)
Münster	34	1950	1988	Jean Roth (5)
New York	70	1899	1961	Alfred Goullet , Franco Giorgetti (8)
Newcastle (NSW)	3	1961	1970	Sid Patterson (2)
Nouméa	18	1977	2003	Robert Sasson , Jean-Michel Tessier (4)
Rotterdam	31	1936	2013	René Pijnen (10)
Stuttgart	31	1928	2008	Andreas Kappes (6)
Sydney (NSW)	17	1912	1974	Ken Ross (3)
Townsville (Qld)	1	1962	1962	Barry Lowe, Sid Patterson (1)
Turin	7	2001	2008	Marco Villa (4)
