Name	Type	Planned Release	CC License	Sources available	Open Source Movie
The Last Drug	full feature	2009	by-sa 3.0	with the release	yes
A Swarm of Angels	full feature	not yet	by-nc-sa 2.0	intended	partially
Sanctuary	short	not yet	by-nc-sa 2.5	no	no
The Digital Tipping Point	documentary	not yet released	by-sa	yes	yes
Collision	short	not yet	by-sa 3.0	yes	yes
The Green Sight	Documentary	not yet	TBD	yes	yes
The Beautiful Queen Marya Morevna - Underground	animated feature	not yet	by 3.0	yes	yes
Lunatics! - "No Children in Space"	animated series pilot	2012?	by-sa 3.0	yes	yes
Moon Dog	Feature film	2011	by 3.0	no	no
Tomé	Documentary	2012	by 3.0	intended - looking for hosting	yes
This Way To Denmark Hill	Feature film	2013	by 3.0	no	no
