Show	Host(s)	Flagship	Market	iHeartRadio
Armstrong & Getty	Jack Armstrong, Joe Getty	KSTE	Sacramento	n/a
Bob and the Showgram	Bob Dumas	WDCG	Raleigh	Listen Live
Bronson and Christine	Bob Bronson, Christine Nagy	WLTW	New York	n/a
The John and Ken Show	John Kobylt, Kenneth Chiampou	KFI	Los Angeles	n/a
Johnjay and Rich	Johnjay Van Es, Rich Berra	KZZP	Phoenix	Listen Live
Mojo in the Morning	Mojo (Tom Carballo)	WKQI	Detroit	Listen Live
Murphy, Sam, and Jodi	Bob Murphy, Sam North, Jodi Carson	KRVE	Baton Rouge	n/a
The Paul and Young Ron Show	Paul Castronovo, Ron Brewer	WBGG-FM	Fort Lauderdale	n/a
Rover's Morning Glory	Rover (Shane French)	WMMS	Cleveland	Listen Live
Sean Valentine in the Morning	Sean Valentine	KBIG	Los Angeles	n/a
The War Room with Quinn and Rose	Jim Quinn , Rose Somma Tennent	WPGB	Pittsburgh	n/a
The Travel Show	Don Shafer, Larry Gelwix	KNRS	Salt Lake City	n/a
