Tie no	Home team	Score	Away team	Attendance
1	Arsenal	3 – 0	Newcastle United	60,046
2	Coventry City	2 – 1	Millwall	17,268
3	Oldham Athletic	0 – 1	Huddersfield Town	12,749
4	Barnet	0 – 1	Bristol Rovers	5,190
5	Liverpool	5 – 2	Havant & Waterlooville	42,566
6	Southend United	0 – 1	Barnsley	7,212
7	Wigan Athletic	1 – 2	Chelsea	14,166
8	Derby County	1 – 4	Preston North End	17,344
9	Manchester United	3 – 1	Tottenham Hotspur	75,369
10	Portsmouth	2 – 1	Plymouth Argyle	19,612
11	Southampton	2 – 0	Bury	25,449
12	Hereford United	1 – 2	Cardiff City	6,885
13	Peterborough United	0 – 3	West Bromwich Albion	12,701
14	Mansfield Town	0 – 2	Middlesbrough	6,258
15	Sheffield United	2 – 1	Manchester City	20,800
16	Watford	1 – 4	Wolverhampton Wanderers	12,719
