Date	Opponent	Score	Loss	Record
August 1	Indians	6 - 0	Alexander (0-5)	57-44
August 2	Yankees	10 - 9 (10)	Murray (2-2)	58-44
August 2	Yankees	13 - 6	Shirley (3-6)	59-44
August 3	Yankees	6 - 2	Guidry (12-7)	60-44
August 4	Yankees	3 - 1	Stieb (11-10)	60-45
August 5	@ Brewers	7 - 0	Gott (6-9)	60-46
August 6	@ Brewers	3 - 0	Alexander (0-6)	60-47
August 7	@ Brewers	9 - 6	Leal (10-10)	60-48
August 8	@ Yankees	8 - 3	Clancy (12-7)	60-49
August 8	@ Yankees	11 - 3	Williams (1-1)	60-50
August 9	@ Yankees	8 - 0	Rawley (10-10)	61-50
August 10	@ Yankees	8 - 3	Gott (6-10)	61-51
August 11	Brewers	6 - 4	Alexander (0-7)	61-52
August 12	Brewers	5 - 4	Slaton (9-5)	62-52
August 13	Brewers	3 - 1	McClure (9-9)	63-52
August 14	Brewers	4 - 3	Ladd (3-3)	64-52
August 15	@ Indians	3 - 2	Spillner (1-8)	65-52
August 16	@ Indians	3 - 2	Moffitt (6-1)	65-53
August 16	@ Indians	9 - 6	Anderson (0-4)	66-53
August 17	@ Indians	6 - 5 (10)	Sutcliffe (13-9)	67-53
August 19	@ Red Sox	8 - 7	Clear (3-5)	68-53
August 20	@ Red Sox	5 - 2	Stieb (13-11)	68-54
August 21	@ Red Sox	7 - 3	Hurst (9-10)	69-54
August 22	@ Red Sox	4 - 2	Alexander (0-8)	69-55
August 23	@ Orioles	9 - 3	Flanagan (7-3)	70-55
August 24	@ Orioles	7 - 4 (10)	McLaughlin (7-3)	70-56
August 25	@ Orioles	2 - 1 (10)	Jackson (8-2)	70-57
August 26	@ Tigers	4 - 3 (10)	Gott (7-11)	70-58
August 27	@ Tigers	7 - 4	Lopez (8-6)	71-58
August 28	@ Tigers	4 - 2	McLaughlin (7-4)	71-59
August 29	Red Sox	5 - 1	Tudor (10-9)	72-59
August 29	Red Sox	8 - 7	Moffitt (6-2)	72-60
August 30	Red Sox	5 - 4 (12)	Jackson (8-3)	72-61
August 31	Orioles	10 - 2	Gott (7-12)	72-62
