Rnd	Date	Race Name	Length	Track	Location	Type	Pole Position	Winning Driver
1	March 18	Jimmy Bryan 150	mi (km)	Phoenix International Raceway	Avondale , Arizona	Oval	Danny Ongais	Gordon Johncock
2	March 26	Datsun Twin 200	mi (km)	Ontario Motor Speedway	Ontario , California	Oval	Tom Sneva	Danny Ongais
3	April 15	Coors 200	mi (km)	Texas World Speedway	College Station , Texas	Oval	Danny Ongais	Danny Ongais
4	April 23	Gabriel 200	mi (km)	Trenton International Speedway	Trenton , New Jersey	Oval	Tom Sneva	Gordon Johncock
5	May 28	International 500 Mile Sweepstakes	mi (km)	Indianapolis Motor Speedway	Speedway , Indiana	Oval	Tom Sneva	Al Unser
6	June 11	Molson Diamond Indy	mi (km)	Mosport Park	Bowmanville , Canada	Road course	Danny Ongais	Danny Ongais
7	June 18	Rex Mays Classic	mi (km)	Wisconsin State Fair Park Speedway	West Allis , Wisconsin	Oval	Danny Ongais	Rick Mears
8	June 25	Schaefer 500	mi (km)	Pocono International Raceway	Long Pond , Pennsylvania	Oval	Danny Ongais	Al Unser
9	July 16	Norton Twin 200	mi (km)	Michigan International Speedway	Brooklyn , Michigan	Oval	Tom Sneva	Johnny Rutherford
10	July 23	Gould Twin Dixie	mi (km)	Atlanta International Raceway	Hampton , Georgia	Oval	Tom Sneva	Rick Mears
11	August 6	Texas Grand Prix	mi (km)	Texas World Speedway	College Station , Texas	Oval	Tom Sneva	A. J. Foyt
12	August 20	Tony Bettenhausen 200	mi (km)	Wisconsin State Fair Park Speedway	West Allis , Wisconsin	Oval	Danny Ongais	Danny Ongais
13	September 3	California 500	mi (km)	Ontario Motor Speedway	Ontario , California	Oval	Tom Sneva	Al Unser
14	September 16	Gould Grand Prix	mi (km)	Michigan International Speedway	Brooklyn , Michigan	Oval	Johnny Rutherford	Danny Ongais
15	September 23	Machinist Union 150	mi (km)	Trenton International Speedway	Trenton , New Jersey	Oval	A. J. Foyt	Mario Andretti
16	October 1	Daily Empress Indy Silverstone	mi (km)	Silverstone Circuit	Silverstone , United Kingdom	Road course	Danny Ongais	A. J. Foyt
17	October 7	Daily Mail Indy Trophy	mi (km)	Brands Hatch (Indy Circuit)	Fawkham , United Kingdom	Road course	Al Unser	Rick Mears
