BR No.	SR No.	SR Name	Builder	Built	Withdrawn
30763	763	Sir Bors de Ganis	North British Loco 23209	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1960
30764	764	Sir Gawain	North British Loco 23210	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1961
30765	765	Sir Gareth	North British Loco 23211	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1962
30766	766	Sir Geraint	North British Loco 23212	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1958
30767	767	Sir Valence	North British Loco 23213	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1959
30768	768	Sir Balin	North British Loco 23214	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1961
30769	769	Sir Balan	North British Loco 23215	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1960
30770	770	Sir Prianius	North British Loco 23216	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1962
30771	771	Sir Sagramore	North British Loco 23217	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1961
30772	772	Sir Percivale	North British Loco 23218	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1961
30773	773	Sir Lavaine	North British Loco 23219	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1962
30774	774	Sir Gaheris	North British Loco 23220	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1960
30775	775	Sir Agravaine	North British Loco 23221	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1960
30776	776	Sir Galagars	North British Loco 23222	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1959
30777	777	Sir Lamiel	North British Loco 23223	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1961
30778	778	Sir Pelleas	North British Loco 23224	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1959
30779	779	Sir Colgrevance	North British Loco 23225	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1959
30780	780	Sir Persant	North British Loco 23226	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1959
30781	781	Sir Aglovale	North British Loco 23227	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1962
30782	782	Sir Brian	North British Loco 23228	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1962
30783	783	Sir Gillemere	North British Loco 23279	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1961
30784	784	Sir Nerovens	North British Loco 23280	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1959
30785	785	Sir Mador de la Porte	North British Loco 23281	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1959
30786	786	Sir Lionel	North British Loco 23282	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1959
30787	787	Sir Menadeuke	North British Loco 23283	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1959
30788	788	Sir Urre of the Mount	North British Loco 23284	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1962
30789	789	Sir Guy [ disambiguation needed ]	North British Loco 23285	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1959
30790	790	Sir Villiars	North British Loco 23286	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1961
30791	791	Sir Uwaine	North British Loco 23287	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1960
30792	792	Sir Hervis de Revel	North British Loco 23288	Cannot handle non-empty timestamp argument! 1925	Cannot handle non-empty timestamp argument! 1959
