#	Spacecraft	Spacewalkers	Start ( UTC )	End (UTC)	Duration
192.	STS-98 EVA 1	Thomas Jones Robert Curbeam	February 10, 2001 15:50	February 10, 2001 23:24	7 h, 34 min
193.	STS-98 EVA 2	Thomas Jones Robert Curbeam	February 12, 2001 15:59	February 12, 2001 22:49	6 h, 50 min
194.	STS-98 EVA 3	Thomas Jones Robert Curbeam	February 14, 2001 14:48	February 14, 2001 20:13	5 h, 25 min
195.	STS-102 EVA 1	James Voss Susan Helms	March 11, 2001 05:12	March 11, 2001 14:08	8 h, 56 min
196.	STS-102 EVA 2	Andy Thomas Paul W. Richards	March 13, 2001 05:23	March 13, 2001 11:44	6 h, 21 min
197.	STS-100 EVA 1	Chris Hadfield Scott Parazynski	April 22, 2001 11:45	April 22, 2001 18:55	7 h, 10 min
198.	STS-100 EVA 2	Chris Hadfield Scott Parazynski	April 24, 2001 12:34	April 24, 2001 20:14	7 h, 40 min
199.	ISS Expedition 2 EVA 1	Yury Usachev James Voss	June 8, 2001 14:21	June 8, 2001 14:40	0 h, 19 min
200.	STS-104 EVA 1	Michael Gernhardt James Reilly	July 15, 2001 03:10	July 15, 2001 09:09	5 h, 59 min
201.	STS-104 EVA 2	Michael Gernhardt James Reilly	July 18, 2001 03:04	July 18, 2001 09:33	6 h, 29 min
202.	STS-104 EVA 3	Michael Gernhardt James Reilly	July 21, 2001 04:35	July 21, 2001 08:37	4 h, 02 min
203.	STS-105 EVA 1	Daniel Barry Patrick Forrester	August 16, 2001 13:58	August 16, 2001 20:14	6 h, 16 min
204.	STS-105 EVA 2	Daniel Barry Patrick Forrester	August 18, 2001 13:42	August 18, 2001 19:11	5 h, 29 min
205.	ISS Expedition 3 EVA 1	Vladimir Dezhurov Mikhail Tyurin	October 8, 2001 14:24	October 8, 2001 19:22	4 h, 58 min
206.	ISS Expedition 3 EVA 2	Vladimir Dezhurov Mikhail Tyurin	October 15, 2001 09:17	October 15, 2001 15:08	5 h, 51 min
207.	ISS Expedition 3 EVA 3	Vladimir Dezhurov , Frank Culbertson	November 12, 2001 21:41	November 13, 2001 02:46	5 h, 05 min
208.	ISS Expedition 3 EVA 4	Vladimir Dezhurov Mikhail Tyurin	December 3, 2001 13:20	December 3, 2001 16:06	2 h, 46 min
