Name	Position	Club career	League apps	League goals	Total apps	Total goals
Grant Brown Category:Articles with hCards	DF	1989–2002	407	15	469	18
Tony Emery Category:Articles with hCards	HB	1945–1958	402	1	424	1
Dave Smith Category:Articles with hCards	MF	1968–1971	371	52	420	59
Alan Marriott Category:Articles with hCards	GK	2000–2008	351	0	395	0
Gordon Hobson Category:Articles with hCards	FW	1978–1985 1988–1990	333	96	386	105
Phil Neale Category:Articles with hCards	DF	1975–1985	335	22	369	22
Jeff Smith Category:Articles with hCards	DF	1958–1967	315	2	351	2
George Fraser Category:Articles with hCards	HB	1901–1911	265	4	330	4
Dan McPhail Category:Articles with hCards	GK	1931–1939	309	0	329	0
George Whyte Category:Articles with hCards	FW	1931–1939	299	35	322	37
Harry Pringle Category:Articles with hCards	FW	1922–1934	292	60	315	64
Fred Middleton Category:Articles with hCards	HB	1954–1963	300	16	315	16
Harry Troops Category:Articles with hCards	FW / FB	1949–1958	295	32	310	35
Roger Holmes Category:Articles with hCards	MF	1960–1971	278	36	307	40
Paul M. Smith Category:Articles with hCards	DF	1987–1995	232	27	305	40
Terry Cooper Category:Articles with hCards	DF	1971–1972 1972–1979	270	12	299	13
Phil Hubbard Category:Articles with hCards	MF	1966–1971 1976–1979	261	53	295	60
John Schofield Category:Articles with hCards	MF	1988–1994 2000–2001	250	11	293	16
Roy Finch Category:Articles with hCards	FW	1949–1958	275	56	291	58
Andy Graver Category:Articles with hCards	FW	1950–1954 1955 1958–1961	274	143	289	150
Bert Linnecor Category:Articles with hCards	HB	1957–1964	264	52	287	55
Phil Turner Category:Articles with hCards	MF	1980–1986	239	18	283	20
Jim Grummett, Jr. Category:Articles with hCards	DF	1963–1971	251	19	279	21
John Kennedy Category:Articles with hCards	GK	1967–1974	251	0	278	0
George Shipley Category:Articles with hCards	MF	1980–1985	230	42	274	52
John Ward Category:Articles with hCards	FW	1971–1979 1982	241	90	263	99
Peter Grotier Category:Articles with hCards	GK	1974–1979	233	0	263	0
Peter Gain Category:Articles with hCards	MF	1999–2005	228	21	263	22
Wattie Wilson Category:Articles with hCards	FB	1907–1914	171	6	255	7
Bobby Owen Category:Articles with hCards	HB	1947–1954	246	5	255	5
George Peden Category:Articles with hCards	DF	1967–1974	225	15	252	18
Bob Jackson Category:Articles with hCards	DF	1956–1964	235	0	251	0
Scott Kerr Category:Articles with hCards	MF	2005–2011	222	8	249	9
Doug Wright Category:Articles with hCards	HB	1948–1954	233	2	246	2
Jason Barnett Category:Articles with hCards	DF	1995–2002	208	6	239	6
Paul Morgan Category:Articles with hCards	DF	2001–2007	212	2	238	2
Clem Jackson Category:Articles with hCards	FB	1909–1920	184	0	236	0
Alan Harding Category:Articles with hCards	MF	1973–1979	209	38	234	43
David Felgate Category:Articles with hCards	GK	1980–1985	198	0	232	0
Steve Holmes Category:Articles with hCards	DF	1995–1996 1996–2001	201	32	230	37
Dennis Leigh Category:Articles with hCards	DF	1973–1979	206	4	229	4
Lee Thorpe Category:Articles with hCards	FW	1997–2002	192	58	222	67
Glenn Cockerill Category:Articles with hCards	MF	1977–1979 1981–1984	186	35	222	40
Horace Green Category:Articles with hCards	DF	1949–1954	212	14	220	14
