Driver	Constructor	Laps	Time/Retired	Grid
Mika Häkkinen	McLaren - Mercedes	73	1:32:42.840	4
Michael Schumacher	Ferrari	73	+11.046	1
David Coulthard	McLaren - Mercedes	73	+12.043	7
Jarno Trulli	Jordan - Honda	73	+57.423	8
Eddie Irvine	Jaguar - Cosworth	73	+1:12.434	14
Nick Heidfeld	Sauber - Petronas	73	+1:12.996	6
Jean Alesi	Jordan - Honda	72	+1 Lap	9
Giancarlo Fisichella	Benetton - Renault	72	+1 Lap	12
Jenson Button	Benetton - Renault	72	+1 Lap	10
Heinz-Harald Frentzen	Prost - Acer	72	+1 Lap	15
Olivier Panis	BAR - Honda	72	+1 Lap	13
Pedro de la Rosa	Jaguar - Cosworth	72	+1 Lap	16
Enrique Bernoldi	Arrows - Asiatech	72	+1 Lap	19
Tomáš Enge	Prost - Acer	72	+1 Lap	21
Rubens Barrichello	Ferrari	71	Engine	5
Jacques Villeneuve	BAR - Honda	45	Suspension	18
Jos Verstappen	Arrows - Asiatech	44	Engine	20
Juan Pablo Montoya	Williams - BMW	38	Hydraulics	3
Alex Yoong	Minardi - European	38	Gearbox	22
Ralf Schumacher	Williams - BMW	36	Spun off	2
Fernando Alonso	Minardi - European	36	Driveshaft	17
Kimi Räikkönen	Sauber - Petronas	2	Driveshaft	11
