Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 12, 1964	at New York Jets	L 6–30	Shea Stadium	0–1	45,665
2	September 20, 1964	at Buffalo Bills	L 13–30	War Memorial Stadium	0–2	28,501
3	September 27, 1964	Houston Oilers	L 17–38	Bears Stadium	0–3	22,651
4	October 4, 1964	Boston Patriots	L 10–39	Bears Stadium	0–4	15,485
5	October 11, 1964	Kansas City Chiefs	W 33–27	Bears Stadium	1–4	16,285
6	October 18, 1964	at San Diego Chargers	L 14–42	Balboa Stadium	1–5	23,332
7	October 25, 1964	at Oakland Raiders	L 7–40	Frank Youell Field	1–6	17,858
8	November 1, 1964	at Kansas City Chiefs	L 39–49	Municipal Stadium	1–7	15,053
9	November 8, 1964	San Diego Chargers	L 20–31	Bears Stadium	1–8	19,670
10	November 15, 1964	New York Jets	W 20–16	Bears Stadium	2–8	11,309
11	November 20, 1964	at Boston Patriots	L 7–12	Fenway Park	2–9	24,979
12	November 29, 1964	Oakland Raiders	T 20–20	Bears Stadium	2–9–1	15,958
14	December 13, 1964	Buffalo Bills	L 19–30	Bears Stadium	2–10–1	14,431
15	December 20, 1964	at Houston Oilers	L 15–34	Jeppesen Stadium	2–11–1	15,839
