Year	Gold	Silver	Bronze	Host city / cities	Host country / countries
1920	Canada (1)	United States (1)	Czechoslovakia (1)	Antwerp	Belgium
1924 *	Canada (2)	United States (2)	[[|]] (1)	Chamonix	France
1928 *	Canada (3)	Sweden (1)	[[|]] (1)	St. Moritz	Switzerland
1930	Canada (4)	[[|]] (1)	[[|]] (2)	Chamonix Berlin Vienna	France Germany Austria
1931	Canada (5)	United States (3)	[[|]] (1)	Krynica	Poland
1932 *	Canada (6)	United States (4)	[[|]] (1)	Lake Placid	United States
1933	United States (1)	Canada (1)	Czechoslovakia (2)	Prague	Czechoslovakia
1934	Canada (7)	United States (5)	[[|]] (2)	Milan	Italy
1935	Canada (8)	[[|]] (1)	[[|]] (2)	Davos	Switzerland
1936 *	[[|]] (1)	Canada (2)	United States (1)	Garmisch-Partenkirchen	Germany
1937	Canada (9)	[[|]] (1)	[[|]] (3)	London	Great Britain
1938	Canada (10)	[[|]] (2)	Czechoslovakia (3)	Prague	Czechoslovakia
1939	Canada (11)	United States (6)	[[|]] (4)	Zurich and Basel	Switzerland
1947	Czechoslovakia (1)	Sweden (2)	[[|]] (2)	Prague	Czechoslovakia
1948 *	Canada (12)	Czechoslovakia (1)	[[|]] (5)	St. Moritz	Switzerland
1949	Czechoslovakia (2)	Canada (3)	United States (2)	Stockholm	Sweden
1950	Canada (13)	United States (7)	[[|]] (6)	London	Great Britain
1951	Canada (14)	Sweden (3)	[[|]] (7)	Paris	France
1952 *	Canada (15)	United States (8)	Sweden (1)	Oslo and Drammen	Norway
1953	Sweden (1)	West Germany (2)	[[|]] (8)	Zurich and Basel	Switzerland
1954	Soviet Union (1)	Canada (4)	Sweden (2)	Stockholm	Sweden
1955	Canada (16)	Soviet Union (1)	Czechoslovakia (4)	Krefeld , Dortmund and Cologne	West Germany
1956 *	Soviet Union (2)	United States (9)	Canada (1)	Cortina	Italy
1957	Sweden (2)	Soviet Union (2)	Czechoslovakia (5)	Moscow	Soviet Union
1958	Canada (17)	Soviet Union (3)	Sweden (3)	Oslo	Norway
1959	Canada (18)	Soviet Union (4)	Czechoslovakia (6)	Prague and Bratislava	Czechoslovakia
1960 *	United States (2)	Canada (5)	Soviet Union (1)	Squaw Valley	United States
1961	Canada (19)	Czechoslovakia (2)	Soviet Union (2)	Geneva and Lausanne	Switzerland
1962	Sweden (3)	Canada (6)	United States (3)	Colorado Springs and Denver	United States
1963	Soviet Union (3)	Sweden (4)	Czechoslovakia (7)	Stockholm	Sweden
1964 *	Soviet Union (4)	Sweden (5)	Czechoslovakia (8)	Innsbruck	Austria
1965	Soviet Union (5)	Czechoslovakia (3)	Sweden (4)	Tampere	Finland
1966	Soviet Union (6)	Czechoslovakia (4)	Canada (2)	Ljubljana	Yugoslavia
1967	Soviet Union (7)	Sweden (6)	Canada (3)	Vienna	Austria
1968 *	Soviet Union (8)	Czechoslovakia (5)	Canada (4)	Grenoble	France
1969	Soviet Union (9)	Sweden (7)	Czechoslovakia (9)	Stockholm	Sweden
1970	Soviet Union (10)	Sweden (8)	Czechoslovakia (10)	Stockholm	Sweden
1971	Soviet Union (11)	Czechoslovakia (6)	Sweden (5)	Bern and Geneva	Switzerland
1972	Czechoslovakia (3)	Soviet Union (5)	Sweden (6)	Prague	Czechoslovakia
1973	Soviet Union (12)	Sweden (9)	Czechoslovakia (11)	Moscow	Soviet Union
1974	Soviet Union (13)	Czechoslovakia (7)	Sweden (7)	Helsinki	Finland
1975	Soviet Union (14)	Czechoslovakia (8)	Sweden (8)	Munich and Düsseldorf	West Germany
1976	Czechoslovakia (4)	Soviet Union (6)	Sweden (9)	Katowice	Poland
1977	Czechoslovakia (5)	Sweden (10)	Soviet Union (3)	Vienna	Austria
1978	Soviet Union (15)	Czechoslovakia (9)	Canada (5)	Prague	Czechoslovakia
1979	Soviet Union (16)	Czechoslovakia (10)	Sweden (10)	Moscow	Soviet Union
1981	Soviet Union (17)	Sweden (11)	Czechoslovakia (12)	Gothenburg and Stockholm	Sweden
1982	Soviet Union (18)	Czechoslovakia (11)	Canada (6)	Helsinki and Tampere	Finland
1983	Soviet Union (19)	Czechoslovakia (12)	Canada (7)	Düsseldorf , Dortmund and Munich	West Germany
1985	Czechoslovakia (6)	Canada (7)	Soviet Union (4)	Prague	Czechoslovakia
1986	Soviet Union (20)	Sweden (12)	Canada (8)	Moscow	Soviet Union
1987	Sweden (4)	Soviet Union (7)	Czechoslovakia (13)	Vienna	Austria
1989	Soviet Union (21)	Canada (8)	Czechoslovakia (14)	Stockholm and Södertälje	Sweden
1990	Soviet Union (22)	Sweden (13)	Czechoslovakia (15)	Bern and Fribourg	Switzerland
1991	Sweden (5)	Canada (9)	Soviet Union (5)	Turku , Helsinki and Tampere	Finland
1992	Sweden (6)	[[|]] (1)	Czechoslovakia (16)	Prague and Bratislava	Czechoslovakia
1993	[[|]] (1/23)	Sweden (14)	[[|]] (1/17)	Dortmund and Munich	Germany
1994	Canada (20)	[[|]] (2)	Sweden (11)	Bolzano , Canazei and Milan	Italy
1995	[[|]] (1)	Sweden (15)	Canada (9)	Stockholm and Gävle	Sweden
1996	[[|]] (1/7)	Canada (10)	United States (4)	Vienna	Austria
1997	Canada (21)	Sweden (16)	[[|]] (2/18)	Helsinki , Turku and Tampere	Finland
1998	Sweden (7)	[[|]] (3)	[[|]] (3/19)	Zurich and Basel	Switzerland
1999	[[|]] (2/8)	[[|]] (4)	Sweden (12)	Oslo , Lillehammer and Hamar	Norway
2000	[[|]] (3/9)	[[|]] (1/13)	[[|]] (1)	St. Petersburg	Russia
2001	[[|]] (4/10)	[[|]] (5)	Sweden (13)	Cologne , Hanover and Nuremberg	Germany
2002	[[|]] (1/7)	[[|]] (1/8)	Sweden (14)	Gothenburg , Karlstad and Jönköping	Sweden
2003	Canada (22)	Sweden (17)	[[|]] (1/17)	Helsinki , Tampere and Turku	Finland
2004	Canada (23)	Sweden (18)	United States (5)	Prague and Ostrava	Czech Republic
2005	[[|]] (5/11)	Canada (11)	[[|]] (1/6)	Innsbruck and Vienna	Austria
2006	Sweden (8)	[[|]] (1/13)	[[|]] (2)	Riga	Latvia
