Date	Opponent	Score	Leading Scorer	Attendance	Record
May 17	vs. Los Angeles	94-99	Cappie Pondexter (32)	13,749	0-1
May 20	@ San Antonio	76-81	Cappie Pondexter (23)	9,103	0-2
May 22	vs. Seattle	83-87	Diana Taurasi (23)	7,059	0-3
May 31	@ Minnesota	83-94	Cappie Pondexter (31)	6,914	0-4
June 3	vs. Washington	98-93	Diana Taurasi (29)	7,561	1-4
June 6	@ Los Angeles	85-79	Diana Taurasi (29)	13,142	2-4
June 11	@ Seattle	77-83	Diana Taurasi (37)	7,483	2-5
June 14	vs. Detroit	79-89	Cappie Pondexter (28)	7,696	2-6
June 18	vs. Connecticut	102-81	Diana Taurasi (32)	4,478	3-6
June 20	vs. Chicago	112-105 (OT)	Diana Taurasi (33)	7,311	4-6
June 22	@ New York	72-105	Diana Taurasi (21)	8,688	4-7
June 24	@ Washington	98-90	Diana Taurasi (31)	6,662	5-7
June 26	@ Chicago	89-79	Kelly Miller (17)	3,103	6-7
June 29	@ Connecticut	87-80	Diana Taurasi (25)	9,518	7-7
July 1	@ Atlanta	97-79	Diana Taurasi (28)	9,795	8-7
July 5	vs. New York	83-93	Diana Taurasi (25)	6,481	8-8
July 6	@ Los Angeles	80-91	Kelly Miller (14) Cappie Pondexter (14)	10,004	8-9
July 8	vs. Houston	99-94	Diana Taurasi (30)	15,499	9-9
July 10	@ Seattle	78-89	Cappie Pondexter (20)	10,454	9-10
July 12	@ Sacramento	97-105	Cappie Pondexter (33)	7,044	9-11
July 15	vs. San Antonio	87-97	Diana Taurasi (23) Cappie Pondexter (23)	6,451	9-12
July 17	vs. Los Angeles	99-92	Cappie Pondexter (27)	7,981	10-12
July 19	vs. Atlanta	110-84	Diana Taurasi (21)	7,913	11-12
July 22	@ Houston	92-94	Diana Taurasi (31)	6,134	11-13
July 24	@ Sacramento	74-83	Cappie Pondexter (23)	11,946	11-14
July 25	vs. Seattle	94-80	Diana Taurasi (31)	8,323	12-14
July 27	vs. Indiana	84-88	Diana Taurassi (25)	7,924	12-15
August 28	vs. San Antonio	55-77	Diana Taurasi (13)	7,931	12-16
September 3	vs. Minnesota	103-96	Diana Taurasi (32)	7,722	13-16
September 5	vs. Sacramento	81-69	Diana Taurasi (26)	10,527	14-16
September 7	vs. Houston	99-74	Diana Taurasi (33)	10,261	15-16
September 9	@ Detroit	78-89	Cappie Pondexter (23)	7,495	15-17
September 12	@ Minnesota	96-87	Diana Taurasi (31)	8,343	16-17
September 14	@ Indiana	89-103	Cappie Pondexter (23)	8,776	16-18
