Res.	Record	Opponent	Method	Event	Location
Win	7-3	Hiromitsu Kanehara	Decision (majority)	Hero's 2005 in Seoul	Seoul , South Korea
Win	6-3	Yukiya Naito	Decision (unanimous)	Hero's 1	Saitama, Saitama , Japan
Loss	5-3	Kazuhiro Nakamura	Submission (armbar)	PRIDE Bushido 3	Yokohama , Japan
Win	5-2	Rodney Glunder	Decision (unanimous)	PRIDE Bushido 1	Saitama, Saitama , Japan
Loss	4-2	Jeremy Horn	Decision (unanimous)	2H2H 6 - Simply the Best 6	Rotterdam , Netherlands
Win	4-1	Stanislav Nuschik	KO (punches)	M-1 MFC - European Championship 2002	Saint Petersburg , Russia
Win	3-1	Roman Zentsov	KO	M-1 MFC - Russia vs. the World 2	Saint Petersburg , Russia
Win	2-1	Peter Varga	Submission (arm lock)	MillenniumSports - Veni Vidi Vici	Veenendaal , Netherlands
Loss	1-1	Ramazan Mezhidov	Submission (rear naked choke)	IAFC - Pankration World Championship 2000	Moscow , Russia
Win	1-0	Spartak Kochnev	TKO (strikes)	IAFC - Pankration World Championship 2000	Moscow , Russia
