Party Name	States contested	Seats contested	Seats won	No. of Votes	% of Votes	% in Seats contested	Forfeited in seats
Indian National Congress	33	400	145	103408949	26.53%	34.43%	82
Bharatiya Janata Party	31	364	138	86371561	22.16%	34.39%	57
Communist Party of India (Marxist)	19	69	43	22070614	5.66%	42.31%	15
Bahujan Samaj Party	25	435	19	20765229	5.33%	6.66%	358
Samajwadi Party	23	237	36	16824072	4.32%	10.26%	169
Telugu Desam Party	1	33	5	11844811	3.04%	42.75%	0
Rashtriya Janata Dal	6	42	24	9384147	2.41%	31.27%	14
Janata Dal (United)	16	73	8	9144963	2.35%	17.73%	44
All India Anna Dravida Munnetra Kazhagam	1	33	0	8547014	2.19%	35.59%	0
Nationalist Trinamool Congress	5	33	2	8071867	2.07%	29.97%	7
Dravida Munnetra Kazhagam	1	16	16	7064393	1.81%	58.24%	0
Shiv Sena	14	56	12	7056255	1.81%	17.90%	34
Nationalist Congress Party	11	32	9	7023175	1.80%	33.98%	10
Janata Dal (Secular)	12	43	3	5732296	1.47%	15.67%	24
Communist Party of India	15	34	10	5484111	1.41%	23.70%	19
Biju Janata Dal	1	12	11	5082849	1.30%	51.15%	0
Shiromani Akali Dal	1	10	8	3506681	0.90%	43.42%	0
Lok Jan Shakti Party	12	40	4	2771427	0.71%	10.02%	32
Rashtriya Lok Dal	11	32	3	2463607	0.63%	11.08%	23
Telangana Rashtra Samithi	1	8	5	2441405	0.63%	13.19%	0
Pattali Makkal Katchi	2	6	6	2169020	0.56%	51.66%	0
Asom Gana Parishad	1	12	2	2069600	0.53%	23.53%	4
Indian National Lok Dal	4	20	0	1936703	0.50%	12.60%	14
Jharkhand Mukti Morcha	4	9	5	1846843	0.47%	28.43%	3
Revolutionary Socialist Party	3	6	3	1689794	0.43%	33.50%	2
Marumaralarchi Dravida Munnetra Kazhagam	1	4	4	1679870	0.43%	58.23%	0
All India Forward Bloc	5	10	3	1365055	0.35%	18.81%	7
Apna Dal	7	86	0	844053	0.22%	1.48%	86
Indian Union Muslim League	6	10	1	770098	0.20%	9.61%	8
Gondvana Gantantra Party	5	31	0	720189	0.18%	3.59%	29
Nagaland Peoples Front	2	3	1	715366	0.18%	31.77%	2
Janata Party	12	58	0	517683	0.13%	1.20%	57
Haryana Vikas Party	1	9	0	506122	0.13%	6.88%	8
Jammu & Kashmir National Conference	1	6	2	493067	0.13%	22.02%	2
Bharipa Bahujan Mahasabha	1	16	0	428566	0.11%	3.65%	15
All India Majlis-e-Ittehadul Muslimeen	1	2	1	417248	0.11%	21.29%	1
Shiromani Akali Dal (Simranjit Singh Mann)	1	6	0	387682	0.10%	7.72%	5
Republican Party of India (Athvale)	5	7	1	367510	0.09%	6.31%	6
National Loktantrik Party	6	18	1	367049	0.09%	2.81%	17
Kerala Congress	1	1	1	353905	0.09%	48.52%	0
Kannada Nadu Party	1	21	0	349183	0.09%	1.90%	21
Samajwadi Janata Party (Rashtriya)	7	10	1	337386	0.09%	5.32%	9
Peasants and Workers Party of India	1	3	0	319572	0.08%	14.74%	2
Republican Party of India	8	18	0	295545	0.08%	2.17%	17
Suheldev Bhartiya Samaj Party	2	14	0	275267	0.07%	2.83%	14
Jammu & Kashmir Peoples Democratic Party	1	3	1	267457	0.07%	39.29%	0
Peoples Republican Party	2	2	0	261219	0.07%	16.26%	1
Indian Federal Democratic Party	1	1	1	256411	0.07%	34.38%	0
Kerala Congress (Mani)	1	1	0	209880	0.05%	28.14%	0
Rashtriya Samanta Dal	4	21	0	209694	0.05%	1.44%	21
Samata Party	13	40	0	201276	0.05%	0.75%	40
Lok Bhalai Party	1	1	0	187787	0.05%	21.59%	0
Mizo National Front	1	1	1	182864	0.05%	52.46%	0
Bharatiya Navshakti Party	2	4	1	171080	0.04%	9.25%	3
All Jharkhand Students Union	1	5	0	157930	0.04%	5.21%	5
Sikkim Democratic Front	1	1	1	153409	0.04%	69.84%	0
Marxist Co-ordination Committee	1	1	0	147470	0.04%	15.66%	1
Rashtriya Samaj Paksha	2	13	0	146571	0.04%	1.49%	13
Rashtriya Parivartan Dal	1	3	0	139145	0.04%	5.98%	2
Jharkhand Disom Party	3	7	0	135685	0.03%	2.59%	7
Pyramid Party of India	1	13	0	130362	0.03%	1.11%	13
Ekta Shakti	1	3	0	126924	0.03%	5.04%	3
Autonomous State Demand Committee	1	1	0	101808	0.03%	25.36%	0
Akhil Bharatiya Sena	1	1	0	92210	0.02%	26.50%	0
Akhil Bharatiya Hindu Mahasabha	12	33	0	88214	0.02%	0.38%	33
Federal Party of Manipur	1	1	0	88179	0.02%	21.18%	0
Bihar People's Party	1	1	0	86418	0.02%	12.97%	1
Party of Democratic Socialism	1	2	0	81999	0.02%	4.93%	2
Samata Samaj Party	4	6	0	78791	0.02%	1.94%	6
Manipur Peoples Party	1	1	0	77055	0.02%	12.45%	1
Arunachal Congress	1	1	0	76527	0.02%	34.54%	0
Jharkhand Party	3	8	0	74364	0.02%	1.39%	8
Jammu & Kashmir National Panthers Party	3	7	0	70078	0.02%	2.00%	7
Indian Justice Party	7	29	0	67914	0.02%	0.34%	29
Jharkhand Party (Naren)	1	3	0	67782	0.02%	2.82%	3
United Minorities Front, Assam	1	2	0	64657	0.02%	4.17%	2
Labour Party (Secular)	3	20	0	63989	0.02%	0.42%	20
Rashtriya Swabhimaan Party	4	31	0	58296	0.01%	0.27%	31
Pragatisheel Manav Samaj Party	1	6	0	54746	0.01%	1.31%	6
Lok Rajya Party	1	8	0	54097	0.01%	0.91%	8
Bahujan Kisan Dal	1	9	0	52669	0.01%	0.88%	9
Majlis Bachao Tehreek	1	1	0	47560	0.01%	4.82%	1
