Nationality	Position	Boro career	Captaincy	Appearances	Goals
Scotland	Left-half Left-back	1899–1900	1899–1900	34	0
Scotland	Left-back	1899–1904	–	136	1
England	Centre-half	1900–1901	1900–1901	29	4
England	Right-half	1900–1905	1901–1903	114	12
Scotland	Left-half Centre-half	1900–1906	–	201	8
Scotland	Inside-left Centre-forward	1901–1906	–	135	34
England	Centre-half	1901–1906	–	149	9
England	Goalkeeper	1901–1923	19??–1914	602	2
England	Right-back	1902–1906	–	100	0
Scotland	Right-half Centre-half	1903–1910	1907–19??	242	6
England	Forward	1905–1910	1905–1907	178	65
England	Inside-right	1905–1910	–	130	62
England	Wing-half	1905–1913	–	113	2
England	Inside-left Centre-forward	1906–1913	–	143	55
Scotland	Right-back	1908–1913	–	148	0
England	Centre-forward Inside-forward	1909–1925	1913–1921	365	213
Scotland	Centre-half	1910–1915	1914–1915	137	3
England	Centre-half	1910–1924	–	118	4
England	Inside-forward Outside-right	1910–1930	–	449	81
Scotland	Outside-right	1911–1914	–	112	8
England	Right-half	1912–1915	–	101	1
Scotland	Right-half	1913–1923	–	216	4
England	Full-back	1914–1928	–	174	1
Scotland	Right-back	1919–1923	–	121	0
Scotland	Left-half Inside-left	1919–1924	–	110	10
England	Centre-half Left-half	1919–1924	–	131	0
England	Full-back Left-half	1919–1924	–	112	1
Scotland	Inside-right Outside-right	1920–1927	1926–1927	235	63
England	Goalkeeper	1922–1926	–	128	0
England	Full-back	1923–1930	1924–1926	187	0
Scotland	Centre-half Right-back	1924–1931	–	159	2
England	Full-back Half-back	1924–1932	–	174	2
England	Centre-forward	1925–1939	–	453	345
Northern Ireland	Right-half	1926–1930	–	153	0
Scotland	Full-back	1926–1930	–	123	0
England	Outside-right	1926–1933	–	238	102
Scotland	Goalkeeper	1926–1934	–	264	0
Scotland	Inside-forward	1926–1934	–	109	20
England	Wing-half	1927–1930	1929–1930	85	4
Scotland	Inside-forward	1927–1935	–	253	71
England	Inside-left Centre-half	1929–1933	–	113	4
Scotland	Wing-half Inside-forward	1929–1933	–	101	0
England	Full-back Right-half	1929–1937	1930–1932	205	10
Scotland	Left-half	1929–1939	–	333	8
England	Right-half Right-back	1931–1946	–	274	2
Wales	Centre-half Right-back	1932–1935	1932–1935	92	1
England	Goalkeeper	1932–1936	–	120	0
Scotland	Centre-half Inside-left	1932–1939	193?–193?	266	20
England	Wing-half	1932–1939	–	137	3
England	Centre-forward	1932–1950	–	269	162
England	Outside-right	1934–1938	–	101	36
Scotland	Goalkeeper	1936–1949	–	157	0
England	Inside-forward	1936–1954	–	368	110
England	Full-back	1937–1950	19??–19??	166	7
England	Centre-forward	1945–1954	–	241	81
Scotland	Wing-half	1946–1954	1951–1952	253	4
England	Wing-half	1946–1955	–	315	10
England	Full-back	1946–1959	–	416	1
England	Wing-half	1947–1958	1956–1958	334	10
England	Defender	1948–1952	–	100	0
Scotland	Defender	1948–1953	–	130	49
Jamaica	Forward	1949–1958	–	270	93
Ireland	Inside-forward	1949–1959	–	231	51
England	Full-back	1951–1961	–	118	0
England	Full-back	1951–1961	–	190	0
England	Centre-half	1954–1960	–	124	2
England	Centre-forward	1954–1964	–	238	141
Wales	Inside-forward Wing-half	1954–1965	19??–19??	378	72
England	Centre-forward	1955–1961	19??–19??	222	204
England	Inside-forward	1952–1961	–	123	30
England	Outside-right	1955–1962	–	131	21
England	Outside-left	1956–1962 1965-1966	–	169	25
England	Winger	1956–1963	–	152	29
England	Left-back	1958–1964	–	193	3
England	Goalkeeper	1959–1967	–	110	0
England	Outside-right	1960–1965	–	185	44
England	Defender	1960–1969	–	217	12
England	Full-back	1960–1973	1966–1973	532	5
England	Defender	1961–1972	–	137	1
England	Centre-half	1961–1974	–	333	13
Wales	Centre-half	1962–1965	1962–1965	124	9
Scotland	Midfield	1962–1966	1965–1966	184	47
Wales	Inside-forward	1962–1966	–	128	23
England	Defender	1962–1975	–	331	3
Scotland	Goalkeeper	1963–1966	–	105	0
England	Forward	1963–1969	–	127	56
Scotland	Centre-forward	1964–1967	–	100	43
England	Wing-half	1965–1966	196?–196?	22	2
England	Centre-half	1965–1969	–	150	14
England	Winger	1965–1972	–	204	49
Northern Ireland	Midfield	1965–1974	–	277	26
India	Winger	1966–1970	–	115	4
England	Forward Utility	1966–1977	–	499	187
England	Midfield Forward	1967–1972	–	128	23
England	Central defender	1969–1978	–	354	21
England	Forward	1968–1979 1984–1985	–	398	111
England	Midfielder	1970–1981	–	431	77
Northern Ireland	Goalkeeper	1970–1982	????–????	481	0
England	Wing-half	1971–1973	1971–197?	69	2
England	Central defender	1971–1979	–	393	16
England	Right-back	1971–1982	1981	488	14
England	Winger	1972–1976	–	141	50
England	Midfielder	1972–1977	–	101	8
Scotland	Midfield	1973–1976	–	125	9
Scotland	Midfield	1973–1978	–	216	27
Scotland	Central defender	1973–1982	1979–1981	358	18
England	Left-back	1974–1978	–	133	1
England	Left-back	1975–1982	–	175	3
England	Forward	1977–1982	–	179	25
England	Midfield	1978–1981 1989–1993	–	273	20
England	Forward	1978–1982 1987	–	143	20
Northern Ireland	Winger	1978–1983	–	128	12
England	Forward	1978–1983	–	115	30
England	Right-back	1979–1986	1983–1985	221	2
England	Central defender	1981–1984	–	138	8
Netherlands	Midfield	1981–1985	–	187	28
England	Forward	1982–1986	–	127	31
England	Central defender	1982–1991	1987–1991	425	29
England	Goalkeeper	1983 1985–1995	–	424	0
Scotland	Midfield	1983–1989	–	268	28
England	Central defender	1984–1989 1998–2000	–	250	7
England	Defender	1984–1991 1998–2006	–	423	14
England	Forward	1985–1987	–	107	27
England	Right-back	1985–1988	1985–1986	129	14
England	Right-winger	1985–1992	–	311	31
Ireland	Central defender	1985–1993	1991–1993	268	22
Ireland	Forward	1985–1993	–	381	146
England	Right-back	1986–1993	–	258	7
England	Midfield	1987–1991	–	162	18
England	Central defender	1987–1994	–	131	4
England	Forward	1988–1990	–	28	5
England	Left-back	1990–1993	–	172	6
Scotland	Winger Forward	1990–1996	1993–1994	234	55
England	Midfield	1990–2002	–	367	34
England	Midfield	1991–1994	–	100	1
England	Midfield	1991–1996	–	193	19
Ireland	Defender	1991–2001	–	317	4
Ireland	Left-winger	1991–2001	–	142	17
England	Winger	1992–1997	–	195	48
Ireland	Full-back	1992–1997	–	104	4
England	Midfield	1993–2001	–	154	8
England	Defender	1994–1996	–	120	4
England	Midfield	1994–1997	–	27	1
England	Central defender	1994–1998	1994–1998	139	5
