Chapter	Colonized	Chartered	School	State	Status	Charter Range
Mu Colony	2013	1900	University of Pennsylvania	Pennsylvania	Colony	1900-1997 2001-2007 2013-present
Alpha Epsilon Colony	1992 2013	1910	Emporia State University	Kansas	Colony	1910-1989 1994-2007 2013-present
Delta Deuteron Colony	2013	1915	University of Michigan	Michigan	Colony	1915-2003 2013- present
Pi Deuteron Colony	2011	1925 1946	Ohio State University	Ohio	Colony	1925-1938 1946-1978 2011-present
Phi Theta Colony	2012	1958	Shippensburg University	Pennsylvania	Colony	1958-2000 2013-present
Phi Eta Colony See also Nu Pentaton	2013	1959	Clarion University	Pennsylvania	Colony	1959-2008 2013-present
Upsilon Teterton Colony	2012	1960	Rochester Institute of Technology	New York	Colony	1960-2004 2012-present
UNCC Colony	2012	N/A	University of North Carolina, Charlotte	North Carolina	Colony	N/A
Phi Septaton Colony	Planned for Spring 2014	2008	Georgia Southern	Georgia	Planned Colony	2008-Present
Appalachian State Colony	Estimated for 2014-2016	N/A	Appalachian State	North Carolina	Planned Colony	N/A
