Stage	Winner	General classification	Points classification	Trofeo Fast Team
1	Philippe Casado	Philippe Casado	Philippe Casado	Selle Italia-Magniarredo-Vetta
2a	Gianluca Pierobon	Franco Chioccioli	Franco Chioccioli	Carrera Jeans-Tassoni
2b	Mario Cipollini	Franco Chioccioli	Franco Chioccioli	Carrera Jeans-Tassoni
3	Eduardo Chozas	Franco Chioccioli	Franco Chioccioli	Carrera Jeans-Tassoni
4	Éric Boyer	Éric Boyer	Claudio Chiappucci	Z
5	Marino Lejarreta	Franco Chioccioli	Claudio Chiappucci	ONCE
6	Vladimir Poulnikov	Franco Chioccioli	Franco Chioccioli	Carrera Jeans-Tassoni
7	Mario Cipollini	Franco Chioccioli	Claudio Chiappucci	Carrera Jeans-Tassoni
8	Davide Cassani	Franco Chioccioli	Claudio Chiappucci	Carrera Jeans-Tassoni
9	Massimo Ghirotto	Franco Chioccioli	Claudio Chiappucci	Carrera Jeans-Tassoni
10	Gianni Bugno	Franco Chioccioli	Claudio Chiappucci	Carrera Jeans-Tassoni
11	Maximilian Sciandri	Franco Chioccioli	Claudio Chiappucci	Carrera Jeans-Tassoni
12	Massimiliano Lelli	Franco Chioccioli	Claudio Chiappucci	Carrera Jeans-Tassoni
13	Eduardo Chozas	Franco Chioccioli	Claudio Chiappucci	Carrera Jeans-Tassoni
14	Franco Ballerini	Franco Chioccioli	Claudio Chiappucci	Carrera Jeans-Tassoni
15	Franco Chioccioli	Franco Chioccioli	Claudio Chiappucci	ONCE
16	Massimiliano Lelli	Franco Chioccioli	Claudio Chiappucci	ONCE
17	Franco Chioccioli	Franco Chioccioli	Claudio Chiappucci	Carrera Jeans-Vagabond
18	Silvio Martinello	Franco Chioccioli	Claudio Chiappucci	Carrera Jeans-Vagabond
19	Gianni Bugno	Franco Chioccioli	Claudio Chiappucci	Carrera Jeans-Vagabond
20	Franco Chioccioli	Franco Chioccioli	Claudio Chiappucci	Carrera Jeans-Vagabond
21	Mario Cipollini	Franco Chioccioli	Claudio Chiappucci	Carrera Jeans-Vagabond
Final	Final	Franco Chioccioli	Claudio Chiappucci	Carrera Jeans-Tassoni
