Season	Champion	Team	Chassis	Engine
2013	Marvin Kirchhöfer	Lotus	Dallara F311	Volkswagen
2012	Jimmy Eriksson	Lotus	Dallara F311	Volkswagen
2011	Richie Stanaway	Van Amersfoort Racing	Dallara F307	Volkswagen
2010	Tom Dillmann	HS Technik	Dallara F307	Volkswagen
2009	Laurens Vanthoor	van Amersfoort Racing	Dallara F307	Volkswagen
2008	Frédéric Vervisch	Swiss Racing Team	Dallara F307	OPC Challenge
2007	Carlo van Dam	van Amersfoort Racing	Dallara F306	OPC Challenge
2006	Ho-Pin Tung	JB Motorsport	Lola B06-30	Opel
2005	Peter Elkmann	Jo Zeller Racing	Dallara F304	Opel-Spiess
2004	Bastian Kolmsee	HS Technik	Dallara F302	Opel-Spiess
2003	João Paulo de Oliveira	JB Motorsport	Dallara F302	Opel-Spiess
2002	Gary Paffett	Team Rosberg	Dallara F302	Opel
2001	Toshihiro Kaneishi	Opel Team BSR	Dallara F301	Opel
2000	Giorgio Pantano	Opel Team KMS	Dallara F300	Opel
1999	Christijan Albers	Opel Team BSR	Dallara 399	Opel
1998	Bas Leinders	van Amersfoort Racing	Dallara 398	Opel
Season	Driver	Team	Chassis	Engine
1997	Nick Heidfeld	Team Opel BSR	Dallara 397	Opel
1996	Jarno Trulli	Opel Team KMS Benetton	Dallara 396	Opel
1995	Norberto Fontana	KMS Motorsport	Dallara 395	Opel
1994	Jörg Müller	RSM Marko	Dallara 394	Fiat
1993	Jos Verstappen	WTS Racing	Dallara 393	Opel
1992	Pedro Lamy	WTS Racing	Reynard 923	Opel
1991	Tom Kristensen	Bertrand Schäfer Racing	Ralt RT 35	Volkswagen
1990	Michael Schumacher	WTS Racing	Reynard 903	Volkswagen
1989	Karl Wendlinger	RSM Marko	Ralt RT 33	Alfa Romeo
1988	Joachim Winkelhock	WTS Racing	Reynard 883	Volkswagen
1987	Bernd Schneider	Schübel Rennsport Int.	Dallara 387	Volkswagen
1986	Kris Nissen	Bertrand Schäfer Racing	Ralt RT30	Volkswagen
1985	Volker Weidler	J. Kaufmann Racing	Martini MK 45	Volkswagen
1984	Kurt Thiim	Bongers Motorsport	Ralt RT 3	Alfa Romeo
1983	Franz Konrad	Konrad Racing	Anson SA4	Toyota
1982	John Nielsen	Volkswagen Motorsport	Ralt RT 3	Volkswagen
1981	Frank Jelinski	Bertrand Schäfer Racing	Ralt RT 3	Toyota
1980	Frank Jelinski	Bertrand Schäfer Racing	Ralt RT 3	Toyota
1979	Michael Korten	Korten Motorsport	March 793	Toyota
1978	Bertram Schäfer	Bertrand Schäfer Racing	Ralt RT 1	BMW , Toyota
1977	Peter Scharmann	Team Obermoser Jörg	TOJ-F302	Toyota
1976	Bertram Schäfer	Bertrand Schäfer Racing	Ralt RT 1	BMW
1975	Ernst Maring	Maring Motorsport	Maco 375	Toyota
1974	Giorgio Francia	Scuderia Mirabella Millemiglia	March 743	Toyota
1973	Willi Deutsch	Willi Deutsch	March 733	Ford
1972	Willi Sommer	Reifag Racing Team	March 723	Ford
1971	Manfred Mohr	Manfred Mohr	Lotus 69	Ford
1970	No Championship	No Championship	No Championship	No Championship
1969	No Championship	No Championship	No Championship	No Championship
1968	No Championship	No Championship	No Championship	No Championship
1967	No Championship	No Championship	No Championship	No Championship
1966	No Championship	No Championship	No Championship	No Championship
1965	No Championship	No Championship	No Championship	No Championship
1964	No Championship	No Championship	No Championship	No Championship
1963	Formula Junior	Formula Junior	Formula Junior	Formula Junior
1962	Formula Junior	Formula Junior	Formula Junior	Formula Junior
1961	Formula Junior	Formula Junior	Formula Junior	Formula Junior
1960	Formula Junior	Formula Junior	Formula Junior	Formula Junior
1959	No Championship	No Championship	No Championship	No Championship
1958	No Championship	No Championship	No Championship	No Championship
1957	No Championship	No Championship	No Championship	No Championship
1956	No Championship	No Championship	No Championship	No Championship
1955	No Championship	No Championship	No Championship	No Championship
1954	No Championship	No Championship	No Championship	No Championship
1953	Adolf Lang	Adolf Lang	Cooper T15	JAP
1952	Hellmut Deutz	Hellmut Deutz	Scampolo 501/4, Scampolo 502/10	DKW , Norton
1951	Walter Komossa	Walter Komossa	Scampolo 502/9	BMW
1950	Toni Kreuzer	Toni Kreuzer	Cooper T11	JAP
