Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
12-01	144	S06E14	Pneumatic Impact Wrenches	Cultured Marble Sinks	Plantain Chips	NASCAR Stock Cars
12-02	145	S06E15	Jaws of Life	Artificial Christmas Trees	Soda Crackers	Ratchets
12-03	146	S06E16	s Thermometer	Produce Scales	Aircraft Painting	Luxury s Chocolate
12-04	147	S06E17	Carburetors	Air Conditioners	Sugar (Part 1)	Sugar (Part 2)
12-05	148	S06E18	Combination Wrenches	Deli Meats	Golf Cars	Airships
12-06	149	S06E19	Carbon Fibre Car Parts	Hand Dryers	Recycled Polyester Yarn	Fleece
12-07	150	S06E20	Police Badges	Muffins	Car Washes	Pressure Gauges
12-08	151	S06E21	Metal Detectors	Rum	Tiffany Reproductions	Aircraft Engines
12-09	152	S06E22	Riding Mowers	Popcorn	Adjustable Beds	Cultured Diamonds
12-10	153	S06E23	Airstream Trailers	Horseradish	Industrial Steam s Boiler	Deodorant
12-11	154	S06E24	s Screwdriver	Compact Track Loaders	Physician Scales	Carbon Fibre Bats
12-12	155	S06E25	s Escalator	Kevlar s Canoe	Goat Cheese	Disc Music Boxes
12-13	156	S06E26	Motorcycle Engines	Glass Enamel Sculptures	Hand-Made Paper	Vaulting Poles
