Opposing Teams	Against	Date	Venue	Status
Ireland	8	21/01/1995	Lansdowne Road , Dublin	Five Nations
France	10	04/02/1995	Twickenham , London	Five Nations
Wales	9	18/02/1995	Cardiff Arms Park , Cardiff	Five Nations
Scotland	12	18/03/1995	Twickenham , London	Five Nations
Argentina	18	27/05/1995	Kings Park Stadium , Durban	1995 Rugby World Cup
Italy	20	31/05/1995	Kings Park Stadium , Durban	1995 Rugby World Cup
Western Samoa	22	04/06/1995	Kings Park Stadium , Durban	1995 Rugby World Cup
Australia	22	11/06/1995	Newlands , Cape Town	1995 Rugby World Cup
New Zealand	45	18/06/1995	Newlands , Cape Town	1995 Rugby World Cup
France	19	22/06/1995	Loftus Versfeld , Pretoria	1995 Rugby World Cup
South Africa	24	18/11/1995	Twickenham , London	Test Match
Western Samoa	9	16/12/1995	Twickenham , London	Test Match
