District	Incumbent	Party	First elected	Result	Candidates
Illinois 1	Bobby Rush	Democratic	1992	Re-elected	Bobby Rush (D) 73.9% Donald Peloquin (R) 26.1%
Illinois 3	Dan Lipinski	Democratic	2004	Re-elected	Dan Lipinski (D) 68.5% Richard Grabowski (R) 31.5%
Illinois 6	Peter Roskam	Republican	2006	Re-elected	Peter Roskam (R) 59.2% Leslie Coolidge (D) 40.8%
Illinois 8	Joe Walsh	Republican	2010	Lost re-election Democratic gain	Tammy Duckworth (D) 54.7% Joe Walsh (R) 45.3%
Illinois 9	Jan Schakowsky	Democratic	1998	Re-elected	Jan Schakowsky (D) 66.1% Tim Wolfe (R) 33.9%
Illinois 10	Robert Dold	Republican	2010	Lost re-election Democratic gain	Brad Schneider (D) 50.5% Robert Dold (R) 49.5%
Illinois 11	Judy Biggert Redistricted from the 13th district	Republican	1998	Lost re-election Democratic gain	Bill Foster (D) 58.1% Judy Biggert (R) 41.9%
Illinois 14	Randy Hultgren	Republican	2010	Re-elected	Randy Hultgren (R) 58.8% Dennis Anderson (D) 41.2%
Illinois 15	John Shimkus Redistricted from the 19th district	Republican	1996	Re-elected	John Shimkus (R) 68.9% Angela Michael (D) 31.1%
Illinois 16	Don Manzullo	Republican	1992	Lost renomination Republican loss	Adam Kinzinger (R) 61.9% Wanda Rohl (D) 38.1%
Illinois 16	Adam Kinzinger Redistricted from the 11th district	Republican	2010	Re-elected	Adam Kinzinger (R) 61.9% Wanda Rohl (D) 38.1%
Illinois 17	Bobby Schilling	Republican	2010	Lost re-election Democratic gain	Cheri Bustos (D) 53.3% Bobby Schilling (R) 46.7%
