Game	Date	Opponent	Result	Bills points	Opponents	Bills first downs	Record	Attendance
1	Sept. 16	Oakland Raiders	Win	21	20	22	1–0	80020
2	Sept. 22	Miami Dolphins	Loss	16	24	16	1–1	80020
3	Sept. 29	New York Jets	Win	16	12	17	2–1	76978
4	Oct. 6	at Green Bay Packers	Win	27	7	22	3–1	56267
5	Oct. 13	at Baltimore Colts	Win	27	14	15	4–1	40626
6	Oct. 20	New England Patriots	Win	30	28	19	5–1	78935
7	Oct. 27	Chicago Bears	Win	16	6	16	6–1	78084
8	Nov. 3	at New England Patriots	Win	29	28	22	7–1	61279
9	Nov. 10	Houston Oilers	Loss	9	21	16	7–2	79144
10	Nov. 17	at Miami Dolphins	Loss	28	35	16	7–3	69313
11	Nov. 24	at Cleveland Browns	Win	15	10	10	8–3	66504
12	Dec. 1	Baltimore Colts	Win	6	0	9	9–3	75325
13	Dec. 8	at New York Jets	Loss	10	20	12	9–4	61091
