Year (Ceremony)	Film title used in nomination	Original title	Director(s)	Result
1992 (65th)	Story from Croatia	Priča iz Hrvatske	Krsto Papić Category:Articles with hCards	Not Nominated
1993 (66th)	Countess Dora	Kontesa Dora	Zvonimir Berković Category:Articles with hCards	Not Nominated
1994 (67th)	Vukovar: The Way Home	Vukovar se vraća kući	Branko Schmidt Category:Articles with hCards	Not Nominated
1995 (68th)	Washed Out	Isprani	Zrinko Ogresta Category:Articles with hCards	Not Nominated
1996 (69th)	Nausikaya	Nausikaja	Vicko Ruić Category:Articles with hCards	Not Nominated
1997 (70th)	Lapitch the Little Shoemaker	Čudnovate zgode Šegrta Hlapića	Milan Blažeković Category:Articles with hCards	Not Nominated
1998 (71st)	Transatlantic	Transatlantik	Mladen Juran Category:Articles with hCards	Not Nominated
1999 (72nd)	Red Dust	Crvena prašina	Zrinko Ogresta Category:Articles with hCards	Not Nominated
2000 (73rd)	Marshall Tito's Spirit	Maršal	Vinko Brešan Category:Articles with hCards	Not Nominated
2001 (74th)	Queen of the Night	Kraljica noći	Branko Schmidt Category:Articles with hCards	Not Nominated
2002 (75th)	Fine Dead Girls	Fine mrtve djevojke	Dalibor Matanić Category:Articles with hCards	Not Nominated
2003 (76th)	Witnesses	Svjedoci	Vinko Brešan Category:Articles with hCards	Not Nominated
2004 (77th)	Long Dark Night	Duga mračna noć	Antun Vrdoljak Category:Articles with hCards	Not Nominated
2005 (78th)	A Wonderful Night in Split	Ta divna splitska noć	Arsen Anton Ostojić Category:Articles with hCards	Not Nominated
2006 (79th)	Libertas	Libertas	Veljko Bulajić Category:Articles with hCards	Not Nominated
2007 (80th)	Armin	Armin	Ognjen Sviličić Category:Articles with hCards	Not Nominated
2008 (81st)	No One's Son	Ničiji sin	Arsen Anton Ostojić Category:Articles with hCards	Not Nominated
2009 (82nd)	Donkey	Kenjac	Antonio Nuić Category:Articles with hCards	Not Nominated
2010 (83rd)	The Blacks	Crnci	Goran Dević & Zvonimir Jurić	Not Nominated
2011 (84th)	72 Days	Sedamdeset i dva dana	Danilo Šerbedžija Category:Articles with hCards	Not Nominated
2012 (85th)	Cannibal Vegetarian	Ljudožder vegetarijanac	Branko Schmidt Category:Articles with hCards	Not Nominated
2013 (86th)	Halima's Path	Halimin put	Arsen Anton Ostojić Category:Articles with hCards	TBD
