Artist	Country	Number-one single(s)	Year	Weeks at #1	Straight to #1 ?
L5	France	" Toutes les femmes de ta vie "	2001	1	Yes
L.V.	United States	" Gangsta's Paradise " 1	1995	13	No
Labylle, Jocelyne	Guadeloupe	" Laisse parler les gens "	2003	3	No
Lady Gaga	United States	" Poker Face "	2008	4	No
Lady Gaga	United States	" Bad Romance "	2010	1	Yes
Lafontaine, Philippe	Belgium	"Cœur de loup"	1989	2	No
Lagaf'	France	" Bo le lavabo (WC Kiss) "	1990	1	No
Lagaf'	France	" La Zoubida "	1991	11	No
Lalanne, Francis	France	"On se retrouvera"	1987	6	No
Lahaye, Jean-Luc	France	"Papa chanteur"	1986	1	No
Larage, Faf	France	" Pas le temps "	2006	6	No
Larusso	France	" Tu m'oublieras "	1999	12	No
Las Ketchup	Spain	" Aserejé (The Ketchup Song) "	2002	11	No
Lavoie, Daniel	Canada	" Belle "	1998	18	No
Lavoine, Marc	France	" J'ai tout oublié "	2002	2	No
Lee, Jena	France	" J'aimerais tellement "	2009	11	Yes
Lemarchal, Grégory	France	" De temps en temps "	2007	1	Yes
Leroy, Nolwenn	France	" Cassé "	2003	2	Yes
Leroy, Nolwenn	France	" Nolwenn Ohwo! "	2006	1	No
Lewis, Charles D.	Barbados	" Soca Dance "	1990	6	No
Lewis, Leona	United Kingdom	" Bleeding Love "	2008	1	Yes
Licence IV	France	" Viens boire un p'tit coup à la maison "	1987	13	No
Linkup	France	"Mon étoile"	2003	3	Yes
LMFAO	United States	" Gettin' Over You " 1	2010	1	No
LMFAO	United States	" Party Rock Anthem "	2011	5	No
Loconte, Mikelangelo	Italy	" Tatoue-moi "	2009	5	Yes
Lofteurs, Les	France	"Up and Down"	2001	7	Yes
Lorie	France	" Sur un air latino "	2003	2	No
Lorna	Panama	" Papi chulo... (te traigo el mmmm...) "	2003	1	No
Los Del Rio	Spain	" Macarena "	1996	7	No
Los Lobos	United States	" La Bamba "	1987	11	No
Ludacris	United States	" Baby " 1	2010	2	No
Luna, Sherifa	France	" Quelque part "	2007	4	Yes
