Date	Opponent	Score	Loss	Record
August 1	@ Orioles	9 - 3	Davis (5-7)	65-38
August 2	Rangers	5 - 3	Cook (2-3)	66-38
August 3	Rangers	4 - 1	Welsh (2-3)	67-38
August 4	Rangers	8 - 4	Stieb (10-7)	67-39
August 8	Orioles	7 - 2	McGregor (9-9)	68-39
August 8	Orioles	7 - 4	Boddicker (10-13)	69-39
August 9	@ Royals	4 - 2	Stieb (10-8)	69-40
August 10	@ Royals	4 - 3 (10)	Caudill (4-5)	69-41
August 11	@ Royals	5 - 3 (10)	Beckwith (1-5)	70-41
August 12	@ Rangers	5 - 4	Caudill (4-6)	70-42
August 13	@ Rangers	5 - 3	Russell (0-2)	71-42
August 14	@ Rangers	4 - 1	Hough (11-12)	72-42
August 16	Royals	4 - 2	Key (9-5)	72-43
August 17	Royals	4 - 2	Alexander (12-7)	72-44
August 18	Royals	10 - 6	Gubicza (9-7)	73-44
August 19	@ Indians	5 - 3	Stieb (11-9)	73-45
August 20	@ Indians	3 - 2	Smith (1-1)	74-45
August 21	@ Indians	5 - 2	Alexander (12-8)	74-46
August 23	@ White Sox	6 - 3	Burns (13-8)	75-46
August 23	@ White Sox	10 - 3	Nelson (7-8)	76-46
August 24	@ White Sox	6 - 3	Seaver (12-9)	77-46
August 25	@ White Sox	5 - 3	Key (10-6)	77-47
August 26	@ Twins	4 - 3	Blyleven (12-13)	78-47
August 27	@ Twins	8 - 0	Viola (13-11)	79-47
August 28	@ Twins	6 - 5 (10)	Henke (3-1)	79-48
August 30	White Sox	5 - 3	Bannister (6-12)	80-48
August 31	White Sox	6 - 2	Davis (1-2)	81-48
