Outcome	Year	Championship	Surface	Opponent in the final	Score in the final
Runner-up	2007	Indian Wells (1)	Hard	Rafael Nadal	2–6, 5–7
Winner	2007	Miami (1)	Hard	Guillermo Cañas	6–3, 6–2, 6–4
Winner	2007	Montréal (Canada) (1)	Hard	Roger Federer	7–6 (7–2) , 2–6, 7–6 (7–2)
Winner	2008	Indian Wells (1)	Hard	Mardy Fish	6–2, 5–7, 6–3
Winner	2008	Rome (1)	Clay	Stanislas Wawrinka	4–6, 6–3, 6–3
Runner-up	2008	Cincinnati (1)	Hard	Andy Murray	6–7 (4–7) , 6–7 (5–7)
Runner-up	2009	Miami (1)	Hard	Andy Murray	2–6, 5–7
Runner-up	2009	Monte Carlo (1)	Clay	Rafael Nadal	3–6, 6–2, 1–6
Runner-up	2009	Rome (1)	Clay	Rafael Nadal	6–7 (2–7) , 2–6
Runner-up	2009	Cincinnati (2)	Hard	Roger Federer	1–6, 5–7
Winner	2009	Paris (1)	Hard (i)	Gaël Monfils	6–2, 5–7, 7–6 (7–3)
Winner	2011	Indian Wells (2)	Hard	Rafael Nadal	4–6, 6–3, 6–2
Winner	2011	Miami (2)	Hard	Rafael Nadal	4–6, 6–3, 7–6 (7–4)
Winner	2011	Madrid (1)	Clay	Rafael Nadal	7–5, 6–4
Winner	2011	Rome (2)	Clay	Rafael Nadal	6–4, 6–4
Winner	2011	Montréal (Canada) (2)	Hard	Mardy Fish	6–2, 3–6, 6–4
Runner-up	2011	Cincinnati (3)	Hard	Andy Murray	4–6, 0–3 Ret.
Winner	2012	Miami (3)	Hard	Andy Murray	6–1, 7–6 (7–4)
Runner-up	2012	Monte Carlo (2)	Clay	Rafael Nadal	3–6, 1–6
Runner-up	2012	Rome (2)	Clay	Rafael Nadal	5–7, 3–6
Winner	2012	Toronto (Canada) (3)	Hard	Richard Gasquet	6–3, 6–2
Runner-up	2012	Cincinnati (4)	Hard	Roger Federer	0–6, 6–7 (7–9)
Winner	2012	Shanghai (1)	Hard	Andy Murray	5–7, 7–6 (13–11) , 6–3
Winner	2013	Monte Carlo (1)	Clay	Rafael Nadal	6–2, 7–6 (7–1)
Winner	2013	Shanghai (2)	Hard	Juan Martín del Potro	6–1, 3–6, 7–6 (7–3)
