Date	Name of ship	Flag	Tonnage	Fate
19 May 1940	Erik Frisell	Sweden	5,006	Sunk
22 May 1940	Dunster Grange	United Kingdom	9,494	Damaged
24 May 1940	Kyma	Greece	3,994	Sunk
27 May 1940	Sheaf Mead	United Kingdom	5,008	Sunk
27 May 1940	Uruguay	Argentina	3,425	Sunk
28 May 1940	Brazza	France	10,387	Sunk
28 May 1940	Julien	France	177	Sunk
28 May 1940	Maria Rosé	France	2,477	Sunk
29 May 1940	Telena	United Kingdom	7,406	Sunk
1 June 1940	Ioanna	Greece	950	Sunk
3 June 1940	Snabb	Finland	2,317	Sunk
8 June 1940	Upwey Grange	United Kingdom	9,130	Sunk
23 August 1940	Keret	Norway	1,718	Sunk
23 August 1940	Keret	United Kingdom	5,242	Sunk
24 August 1940	Brookwood	United Kingdom	5,100	Sunk
24 August 1940	HMS Penzance	United Kingdom	1,025	Sunk
25 August 1940	Blairmore	United Kingdom	4,141	Sunk
25 August 1940	Yewcrest	United Kingdom	3,409	Sunk
27 August 1940	Theodoros T	Greece	3,409	Sunk
27 September 1940	Georges Mabro	Egypt	2,555	Sunk
28 September 1940	Corrientes	United Kingdom	6,863	Sunk
30 September 1940	Heminge	United Kingdom	2,499	Sunk
30 September 1940	Samala	United Kingdom	5,390	Sunk
6 October 1940	British General	United Kingdom	6,989	Sunk
13 October 1940	Stangrant	United Kingdom	5,804	Sunk
